ID,Description,Count,Resolution,Source
g-362ba51ef9df,誨のつくり＋卜,1,kana-component,aozora
g-9e05d9431869,讀＋言,1,ids,aozora
g-4d6af2f77a95,豈＋風,1,ids,aozora
g-a90456c3e27e,豊＋弟,1,ids,aozora
g-bd0395243c48,豕＋巴,1,ids,aozora
g-26cb87010e93,豕＋賁,1,ids,aozora
g-b00009b38931,貝＋兄,1,ids,aozora
g-57f7ed0ed310,貝＋冒,1,ids,aozora
g-914c3c38f8fc,貝＋藏,1,ids,aozora
g-b5b85aa66e53,赤＋報のつくり,18,kana-component,aozora
g-d95c22460692,赤＋（暇－日）,1,subtractive,aozora
g-7eebc99245f0,走にょう＋來,1,kana-component,aozora
g-897cbae9ecd7,走にょう＋兪,1,kana-component,aozora
g-0d4f2f3f5c2a,走にょう＋多,2,kana-component,aozora
g-a1b0aa848fc7,走にょう＋（咨－口）,2,kana-component,aozora
g-009034eb9dcf,走＋喬,3,ids,aozora
g-d9cf2526d432,走＋尓,1,ids,aozora
g-ce41d7742486,足へん＋令,1,kana-component,aozora
g-1915085dbe28,足へん＋全,1,kana-component,aozora
g-aeaa907c4254,足へん＋多,1,kana-component,aozora
g-75f5be33be1d,足へん＋屏,1,kana-component,aozora
g-b35beabbd054,足へん＋廚,1,kana-component,aozora
g-e99781af1307,足へん＋徙,1,kana-component,aozora
g-d2fdc8e50b7c,足へん＋從のつくり,2,kana-component,aozora
g-c33353317aaa,足へん＋歩,1,kana-component,aozora
g-4507f9695309,足へん＋爛のつくり,1,kana-component,aozora
g-d46a91a064d8,足＋勺,3,ids,aozora
g-fbd01cd79c54,足＋占,1,ids,aozora
g-1b28be75e55c,身＋冉,1,ids,aozora
g-a7c8aed6acbe,身＋応,1,ids,aozora
g-7b0730b537ff,車＋令,1,ids,aozora
g-22742eda25bd,車＋兀,3,ids,aozora
g-4831efbc8432,車＋全,1,ids,aozora
g-da0cf4e04451,車＋端のつくり,1,kana-component,aozora
g-554374c0a649,車＋般,1,ids,aozora
g-2bb2d064d10e,辟／鳥,1,ids,aozora
g-0c5c7a99fffd,酉＋嚴,1,ids,aozora
g-c3292623948e,酉＋珍のつくり,1,kana-component,aozora
g-171fcd445670,酉＋票,1,ids,aozora
g-db3e320c974b,酉＋靈,1,ids,aozora
g-bf3129bd4c69,酋＋おおざと,1,kana-component,aozora
g-816c25c66eab,金＋乏,1,ids,aozora
g-a1083c3f0afe,金＋俊のつくり,1,kana-component,aozora
g-9434a7dabb31,金＋夫,1,ids,aozora
g-f2a123944e75,金＋志,1,ids,aozora
g-0e2379061af5,金＋截,1,ids,aozora
g-4a75e7263b00,金＋挿のつくり,1,kana-component,aozora
g-ca8abee2a17e,金＋插のつくり,1,kana-component,aozora
g-9c11c5798817,金＋攜のつくり,1,kana-component,aozora
g-b7b90c383ab2,金＋支,1,ids,aozora
g-715ca2ba0826,金＋柔,1,ids,aozora
g-b4cde8c9859d,金＋槿のつくり,2,kana-component,aozora
g-ee12ed7c0768,金＋研のつくり,1,kana-component,aozora
g-fe445696849d,金＋表,4,ids,aozora
g-2dc3a1b39003,金＋質,1,ids,aozora
g-c223b5bba385,阿／女,1,ids,aozora
g-8eaaebea08d1,陷のつくり＋欠,1,kana-component,aozora
g-388f6b3aeb37,隙のつくり＋虎,1,kana-component,aozora
g-8cd9423234e6,雨かんむり／毎,1,kana-component,aozora
g-3919bf6cc833,雨かんむり／湯,1,kana-component,aozora
g-ee8476f1e2a0,雨かんむり／誨のつくり,1,kana-component,aozora
g-a90f1656fb95,非0213外字：「厂＋菫」、ただし「菫」は第3水準1-92-16のつくりの形、読みは「わづ」、289-上-12,1,kana-component,aozora
g-87d9aba10db4,非0213外字：「厂＋菫」、ただし「菫」は第3水準1-92-16のつくりの形、読みは「わづか」、286-下-24,1,kana-component,aozora
g-354ebe7e2ad1,革＋室,1,ids,aozora
g-05a6fd1c60a6,革＋巴,2,ids,aozora
g-1298631d486a,革＋建,23,ids,aozora
g-5e2e06d92ebc,革＋引,1,ids,aozora
g-2f04aff7ce0a,革＋背,1,ids,aozora
g-3ddbde462cea,革＋（顯－頁）,1,subtractive,aozora
g-9c753928eb22,風にょう＋旋のつくり,1,kana-component,aozora
g-2c28e0632483,飮のへん＋巉のつくり,1,kana-component,aozora
g-adcde50e8687,飮のへん＋旨,1,kana-component,aozora
g-cb4ef274fd85,飮のへん＋纔のつくり,1,kana-component,aozora
g-82d75d79e308,飲のへん＋乍,2,kana-component,aozora
g-121cea266924,馬＋來,1,ids,aozora
g-d1b654d8520c,馬＋勺,2,ids,aozora
g-368bf7445253,馬＋央,1,ids,aozora
g-86a783cea00b,馬＋干,1,ids,aozora
g-cc68fb83a766,馬＋戎,5,ids,aozora
g-ae8887d9e6a8,馬＋渓のつくり,1,kana-component,aozora
g-e0e292f35b42,馬＋畢,3,ids,aozora
g-66d8bd3e8e50,馬／廾,1,ids,aozora
g-792018232822,髟＋坐,2,ids,aozora
g-0e325d30575c,髟／丐,1,ids,aozora
g-1529334b7293,髟／再,1,ids,aozora
g-6d6069f9901b,髟／胡,2,ids,aozora
g-c6e0cc751354,魚へん＋君,2,kana-component,aozora
g-fbb62cbcc055,魚＋才,1,ids,aozora
g-ae6ae250f8ab,魚＋昜,24,ids,aozora
g-863c39065907,魚＋節,1,ids,aozora
g-4ca69dd33d29,魚＋豕,1,ids,aozora
g-e07cbf6bfb9c,鹵＋差,1,ids,aozora
g-e477adabc67f,鹿＋鳥,1,ids,aozora
g-8de4dbb07ab6,鹿／几,4,ids,aozora
g-b2902615cc17,鹿／（暇－日）,1,subtractive,aozora
g-72764a77578f,鼓／兆,1,ids,aozora
g-52ac93f02a16,鼠＋占,1,ids,aozora
g-0580be2555cd,鼠＋（偃－イ）,1,kana-component,aozora
g-3735ac0a992b,齒＋兒,1,ids,aozora
g-6b05c2b41881,（ム／（ム＋ム））／糸,2,kana-component,aozora
g-64e8bec6f0f0,（來＋力）／心,1,parenthesised,aozora
g-e1c21a5c02d2,（來＋攵）／鳥,1,parenthesised,aozora
g-b903a9feeacd,（口＋口）／田／一／黽,1,parenthesised,aozora
g-1106b44a529c,（夕＋匕）／手,1,parenthesised,aozora
g-e56e6c32a097,（幸＋攵）／皿,8,parenthesised,aozora
g-ecced1bb7ea9,（浅－さんずい）／皿,1,kana-component,aozora
g-08cc0189427b,（禾＋尤）／上／日,15,parenthesised,aozora
g-634dc830114a,（章＋夂／貢）／心,2,parenthesised,aozora
g-bd3119c01904,（箆－竹－比）／民,3,subtractive,aozora
g-14c042268091,（罪－非）／「厠,1,subtractive,aozora
g-4a81e74cb61b,（自／木）＋危,1,parenthesised,aozora
g-658f94463daa,（自／蚌のつくり）＋飛,1,kana-component,aozora
g-221f5e69aabc,（餮－殄）／求,1,subtractive,aozora
g-48884d7730be,（馬－れんが）／廾,3,kana-component,aozora
g-11ad10d036fa,Ｙ＋Ｙ,21,other,aozora
