ID,Codepoint,Glyph,Gardiner,UniK,Core,Description,Functions,Values,JSesh,Hieroglyphica,IFAO,Source
U13708,U+13708,𓜈,B-04-015,B023X,C,"Woman, seated on a block throne without internal detail, on a base, with long hair, right arm in front of the body, left arm extended forward, hand on the knee.",Classifier personal name,ḥtp-ḥr=s,,,,unikemet
U13709,U+13709,𓜉,B-04-016,HJ B023A,C,"Woman, seated on a block throne, with long hair, both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",Classifier personal name,,B23A,B23A,,unikemet
U1370A,U+1370A,𓜊,B-04-017,B023G,C,"Woman, seated on a block throne on a base, with long hair, both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",Logogram (to be noble),šps,,,,unikemet
U1370B,U+1370B,𓜋,B-04-018,HJ B023F,,,,,B23F,B23F,,unikemet
U1370C,U+1370C,𓜌,B-04-023,B121,C,"Woman, seated on a chair, with long hair, both arms forward, forearms horizontal, one above the other, holding a stem of papyrus with a bud (M131) or flower, of the length of the seated figure, vertically.",Logogram (to be noble),šps,,,,unikemet
U1370D,U+1370D,𓜍,B-04-024,HJ B021D,C,"Woman, seated on nothing, arms at either side of the body, hanging beside the body.",Classifier resting,snḏm,B21D,B21D,,unikemet
U1370E,U+1370E,𓜎,B-04-025,HJ B078,C,"Girl, with long hair, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",classifier youth,rnpꞽ,B78,B78,,unikemet
U1370F,U+1370F,𓜏,B-05-002,B032A,C,"Woman, standing, right arm forward, arm bent, hand slightly higher than the shoulder, holding a flower with a long stem which angles forwards and downwards, just under the flower, which is in front of the face, left arm hanging beside the body.",Classifier name,,,,,unikemet
U13710,U+13710,𓜐,B-05-003,HJ B027,C,"Woman, standing, back slightly bent forwards, arms extended forwards, hands at the height of the waist, hand palms upwards, with a ripple of water (N35) above the hands.",Classifier to welcome,nyny,B27,B27,"52,2",unikemet
U13711,U+13711,𓜑,B-05-005,B027B,C,"Woman, standing, wearing a diadem, back slightly bent forwards, arms extended forwards, hands at the height of the waist, hand palms upwards, with a ripple of water (N35) above both hands.",Classifier to welcome,nyny,,,,unikemet
U13712,U+13712,𓜒,B-05-010,B028A,,,,,,B28,,unikemet
U13713,U+13713,𓜓,B-05-011,B028,C,"Woman, standing, with long hair, arms raised in front, hands to the face, hand palms outwards.",Classifier mourners,ḥ(ꜣ)y.t,B28,,,unikemet
U13714,U+13714,𓜔,B-05-012,HJ B088,C,"Woman, standing, with long hair, arm raised in front, hand to mouth.","classifier (screamers, mourners)",sgb.wt,B88,B88,,unikemet
U13715,U+13715,𓜕,B-05-013,HJ B024,C,"Woman, standing, with long hair, arms hanging at either side of the body.",Classifier divinity,ꜣs.t,B24,B24,,unikemet
U13716,U+13716,𓜖,B-05-015,HJ B024A,C,"Woman, standing, with long hair, right arm forward, hand at the height of the waist, left arm over the body, left hand on the waist.",Classifier relationship,ḫnms.t,B24A,B24A,,unikemet
U13717,U+13717,𓜗,B-05-016,HJ B064,C,"Woman, standing, with long hair, arms raised at either side of the body, hands horizontal at the height of the top of the head, hand palms upwards.",Classifier to raise/to support,ḫy,B64,B64,,unikemet
U13718,U+13718,𓜘,B-05-017,HJ B065A,C,"Woman, standing, with long hair, arm in front, hand horizontal at the height of the face, hand palm upwards.",Classifier singing,šmꜥ,B65A,B65A,,unikemet
U13719,U+13719,𓜙,B-05-021,HJ B034,C,"Woman, standing, with long hair, right arm forward, hand at the height of the waist, holding a sedge (M23) of the height of the woman, with the tip curving forward, left arm hanging beside the body.",Phonemogram,sw,B34,B34,"52,7",unikemet
U1371A,U+1371A,𓜚,B-05-022,HJ B035,C,"Woman, standing, with long hair, right arm forward, hand at the height of the waist, holding a crook (S38) of the height of the woman, with the opening outward, left arm hanging beside the body.",Logogram (to rule),ḥḳꜣ,B35,B35,"52,8",unikemet
U1371B,U+1371B,𓜛,B-05-024,B036C,C,"Woman, standing, with long hair, bent forward, back nearly horizontal, arms extended forward, hands in an object which resembles a sand covered mountain over the edge of the cultivated areas (N26), in front of the feet.",Phonemogram,nḏ,,,,unikemet
U1371C,U+1371C,𓜜,B-05-025,HJ B052,C,"Woman, standing, with long hair, arms raised in front, upper arms horizontal, forearms vertical, holding a snake (or wavy stick) over their head.",Classifier mourner,ḥꜣy.t,B52,B52,,unikemet
U1371D,U+1371D,𓜝,B-05-026,HJ B058,C,"Woman, standing, with long hair, arms raised at either side of the body, hands horizontal at the height of the top of the head, hand palms upwards, holding up the sky (N1).",,,B58,B58,,unikemet
U1371E,U+1371E,𓜞,B-05-029,B049C,C,"Woman, standing, with long hair, right arm forward, holding a stick/staff, left arm hanging beside the body.",Logogram (noblewoman),sr.t,,,,unikemet
U1371F,U+1371F,𓜟,B-05-031,B049B,C,"Woman, standing, with long hair, right arm forward, holding a stick/staff, left arm hanging beside the body, holding a flagellum (S45) horizontally.",Logogram (sovereign),ꞽt.yt,,,,unikemet
U13720,U+13720,𓜠,B-05-032,HJ B072,C,"Woman, standing, with long hair, right arm forward, hand at the height of the waist, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the woman, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34), at the loop.",Phonemogram,w,B72,B72,,unikemet
U13721,U+13721,𓜡,B-05-034,HJ B068,C,"Woman, standing, with long hair, right arm forward, hand at the height of the shoulder, holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.","Logogram (to be old, old age)",ꞽꜣwꞽ,B68,B68,,unikemet
U13722,U+13722,𓜢,B-05-035,B106,C,"Woman, standing, with long hair, right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the height of the woman, vertically, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34), at the loop.",Logogram (noble lady),rpy.t,,,,unikemet
U13723,U+13723,𓜣,B-05-036,B122,C,"Woman, standing, with long hair, right arm forward, hand at the height of the waist, holding a stem of papyrus with a bud (M131) or flower, of the height of the woman, vertically, left arm hanging beside the body.",Logogram (sovereign),ꞽt.yt,,,,unikemet
U13724,U+13724,𓜤,B-05-037,HJ B070,C,"Woman, standing, with long hair, right arm forward, hand at the height of the waist, holding a palm branch, stripped of leaves, with multiple sharp notches (M4A), tip curving outwards, notches towards the body, left arm hanging beside the body, holding a tie or strap, used with sandals (ankh sign, S34), at the loop.",Phonemogram (cryptography),t/r,B70,B70,,unikemet
U13725,U+13725,𓜥,B-05-039,HJ B077,C,"Woman, standing, back bent forward, with a line coming from the head, curving forward, arms extended forward, forearms horizontal at the height of the waist.",Classifier mourner,ḥꜣy.t,B77,B77,,unikemet
U13726,U+13726,𓜦,B-05-040,B077B,C,"Woman, standing, back slight bent forwards, with two lines coming from the head, one bending forward, one bending backwards, both arms forward, twisted together.",Classifier?,šꜣ.tw,,,,unikemet
U13727,U+13727,𓜧,B-05-042,HJ B079,C,"Woman, standing, with long hair, wearing a diadem, both arms raised at either side of the body, hands a the height of the face, holding a stick in each hands, which is angled inwards.",Classifier danceress,ꞽhb.t,B79,B79,,unikemet
U13728,U+13728,𓜨,B-05-043,HJ B083,C,"Woman standing, arms extended forwards, holding a child, with the arms and child covered in a cloth, only the head of the child visible.","Classifier nursing, rearing",ꜣṯ,B83,B83,,unikemet
U13729,U+13729,𓜩,B-05-045,B031A,C,"Woman, standing, with long hair, arms extended in front, hands at the height of the shoulder, with a vertical line descending from each hand, which end at the height of the bottom of the dress.",Classifier,ꜥtꜣ,,,,unikemet
U1372A,U+1372A,𓜪,B-06-001,HJ B038,,,,,B38,B38,"52,10",unikemet
U1372B,U+1372B,𓜫,B-06-002,HJ B038A,C,"Woman, seated, both knees up, with covered arms and legs, with long hair, wearing a headdress consisting of a sun disk in horns, with two plumes on top of the sun disk (S65) and a vulture headdress, holding a stem of papyrus with a bud (M131) or flower vertically.",Classifier royal sister,sn.t,B38A,B38A,"52,11",unikemet
U1372C,U+1372C,𓜬,B-06-004,HJ B039,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, with two plumes on her head, holding a flower which curves forward, with the flower orientated downwards.",Classifier royal personal name,nfr-nfr.w-ꞽtn-nfr.ty-ꞽyꞽ.tꞽ,B39,B39,"52,13",unikemet
U1372D,U+1372D,𓜭,B-07-002,B040A,,,,,,,"53,1",unikemet
U1372E,U+1372E,𓜮,B-07-003,HJ B041,,,,,B41,B41,"53,2",unikemet
