ID,Codepoint,Glyph,Gardiner,UniK,Core,Description,Functions,Values,JSesh,Hieroglyphica,IFAO,Source
U13000,U+13000,𓀀,A-01-001,A001,C,"Man, seated, right knee raised, right arm raised, left arm in front of body.",Classifier human being,,A1,A1,"1,1",unikemet
U13001,U+13001,𓀁,A-01-027,A002,C,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier eating/drinking/speech/ silence/thoughts/feelings,,A2,A2,"2,4",unikemet
U13002,U+13002,𓀂,A-01-005,A003,C,"Man, seated on heel, right knee raised, right arm raised, left arm in front of body.",Classifier sitting,ḥmsꞽ,A3,A3,,unikemet
U13003,U+13003,𓀃,A-01-040,A004,C,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards.",Classifier supplication/hiding/rejection,,A4,A4,"2,14",unikemet
U13004,U+13004,𓀄,A-11-002,A005,C,,,,A5,A5,,unikemet
U13005,U+13005,𓀅,A-11-003,A005A,C,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards, under a corner of a wall.",Logogram (to hide),ꞽmn,A5A,A5A,"15,3",unikemet
U13006,U+13006,𓀆,A-09-001,A006,C,"Man, seated, right knee raised, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, both arms raised towards the front, hand palms outwards.","Logogram (pure, clean)",wꜥb,A6,A6,"13,5",unikemet
U13007,U+13007,𓀇,A-09-011,A006A,C,"Man, seated, both knees down, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, with the water ending on a block, both arms forward, extended downwards toward the block.",Classifier to libate,sṯ,,,"14,1",unikemet
U13008,U+13008,𓀈,A-09-005,A006B,C,,,,US1A6BEXTU,,,unikemet
U13009,U+13009,𓀉,A-01-036,A007,C,"Man, seated on heel, right leg extended with foot in front of left leg, right and left arm sloping downwards to either side of the body.",Classifier sitting/weak/faint,,A7,A7,"2,9",unikemet
U1300A,U+1300A,𓀊,A-01-059,A008,C,"Man, seated, right knee raised, right arm angled in front of the body, left arm raised, hand held vertically, hand palm inwards (hnw gesture).",Classifier joy/veneration,,A8,,"3,7",unikemet
U1300B,U+1300B,𓀋,A-07-021,A009,C,"Man, seated, right knee raised, a vessel on his head, right arm raised in front, with the hand at the vessel, left arm hanging beside the body.","Classifier to lift, to carry",fꜣꞽ,A9,A9,"11,6",unikemet
U1300C,U+1300C,𓀌,A-12-042,A010,C,"Man, seated, right knee raised, right arm extended forward, holding the shaft of an oar, with the blade at the level of the feet, left arm hanging beside the body.",Classifier sailing/rowing,sḳdꞽ,A10,A10,,unikemet
U1300D,U+1300D,𓀍,A-07-041,A011,C,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",Phonemogram,ḫnms,A11,A11,,unikemet
U1300E,U+1300E,𓀎,A-17-003,A012,C,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",Logogram (army),mšꜥ,A12,A12,,unikemet
U1300F,U+1300F,𓀏,A-18-001,A013,C,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",Classifier rebel/enemy ,,A13,A13,"24,5",unikemet
U13010,U+13010,𓀐,A-18-081,A014,C,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.","Classifier rebel, opponent",rḳ,A14,A14,,unikemet
U13011,U+13011,𓀑,A-18-074,A014A,C,"Man, seated on heel, right knee raised, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade in the forehead of the man.",Classifier death,mt,A14A,,"27,4",unikemet
U13012,U+13012,𓀒,A-05-004,A015,C,"Man, written horizontally, facing down, arms raised in front.",Logogram (to fall),ḫr,A15,A15,"7,11",unikemet
U13013,U+13013,𓀓,A-04-005,A016,C,"Man, standing, bent forwards, arms hanging downwards, extended towards the front.",Classifier bowing,,A16,A16,"6,10",unikemet
U13014,U+13014,𓀔,A-23-002,A017,C,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier youth/child,,A17,A17,"34,1",unikemet
U13015,U+13015,𓀕,A-23-007,A017A,C,"Child, seated on nothing, forelegs spread, right arm forward, extended towards the knee, hand palm down, left arm hanging beside the body.",Classifier youth/child,,A17A,,,unikemet
U13016,U+13016,𓀖,A-23-030,A018,C,"Child, wearing the red crown (S3), seated on nothing, forelegs spread, right arm raised in front with hand to mouth, left arm hanging beside the body.",Classifier child (royal),,A18,A18,"35,7",unikemet
U13017,U+13017,𓀗,A-06-017,A019,C,"Old man, standing, with a bent back, right arm forwards, holding a staff/stick near the top, with the staff at a slight backward angle, left arm hanging beside the body.","Logogram (old, old age)",ꞽꜣw,A19,,"9,7",unikemet
U13018,U+13018,𓀘,A-06-009,A020,C,"Man, standing, with a slightly bent back, right arm in front holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.",Logogram (elder),smsw,A20,A20,"9,5",unikemet
U13019,U+13019,𓀙,A-06-005,A021,C,"Man, standing, wearing a short sash-kilt, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",,,A21,A21,"8,15",unikemet
U1301A,U+1301A,𓀚,A-06-037,A022,C,"Man, standing on a base (statue), right arm forward, holding a stick/staff, which rests on the same base, left arm hanging beside the body holding a sceptre (S42), sceptre-head extending in front of the body.",Classifier statue,,A22,A22,,unikemet
U1301B,U+1301B,𓀛,A-27-024,A023,C,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the height of the shoulder, holding a staff with a triangular piece (point down) at the height of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",Classifier sovereign,ꞽt.y,A23,A23,,unikemet
U1301C,U+1301C,𓀜,A-16-021,A024,C,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",Classifier force/effort,,A24,A24,"22,8",unikemet
U1301D,U+1301D,𓀝,A-16-039,A025,C,"Man, standing, back bent forward, right arm forward, holding a stick which slightly curves towards the body, left arm hanging beside the body.",Classifier force/effort,,A25,A25,,unikemet
U1301E,U+1301E,𓀞,A-02-020,A026,C,"Man, standing, right arm outstretched before him, with the left arm hanging beside the body.",Logogram (vocative interjection),ꞽ,A26,A26,"4,5",unikemet
U1301F,U+1301F,𓀟,A-02-041,A027,C,"Man, running, right arm raised in front, left arm in front of the body.",Phonemogram/classifier messenger,ꞽn,A27,A27,"5,7",unikemet
U13020,U+13020,𓀠,A-02-044,A028,C,"Man, standing, with arms raised at either side of the body, hand palms inwards.",Logogram (to be high),ḳꜣꞽ,A28,A28,"5,11",unikemet
U13021,U+13021,𓀡,A-03-001,A029,C,"Man, upside-down, both arms raised at either side of the body, hand palms inwards.",Classifier upside-down,sḫd,A29,A29,"6,2",unikemet
U13022,U+13022,𓀢,A-04-001,A030,C,"Man, standing, both arms raised in front, hands held vertically, hand palms outwards.",Classifier adoration,,A30,A30,"6,4",unikemet
U13023,U+13023,𓀣,A-02-030,A031,C,"Man, standing, head facing forwards, arms raised behind him, hand palms outwards.",Classifier turning away,,A31,A31,"4,16",unikemet
U13024,U+13024,𓀤,A-19-011,A032,C,"Man, dancing, left leg straight, right knee in front of the left leg, right foot behind the left leg, toes at the height of the left foot, right arm in front of the body, left arm raised at the back, hand at the height of the head.",Classifier dancing,ḫbꞽ,A32,A32,"29,9",unikemet
U13025,U+13025,𓀥,A-19-014,A032A,C,,,,,,"29,12",unikemet
U13026,U+13026,𓀦,A-14-011,A033,C,"Man, standing, bent forwards, both arms forward, holding a stick with a bundle or a mat over his shoulders, bundle behind the back.",Classifier wandering/displaced,rw,A33,A33,,unikemet
U13027,U+13027,𓀧,A-12-019,A034,C,"Man, standing, back slightly bent forwards, both arms forward, holding a long stick (rammer), which ends at the bottom in a mortar.","Logogram (to pound, to build)",ḫwsꞽ,A34,A34,"16,9",unikemet
U13028,U+13028,𓀨,A-12-023,A035,C,"Man, standing, both arms raised in front, touching a vertically written wall with battlements near the top.",Logogram (to build),ḳd,A35,A35,"16,12",unikemet
U13029,U+13029,𓀩,A-12-008,A036,C,"Man, standing, back bent forwards, both arms forwards, extending downwards into a large vessel.",Logogram (brewer),ꜥf.ty,A36,A36,"15,14",unikemet
U1302A,U+1302A,𓀪,A-12-045,A037,C,"Man, standing inside a cross-section of a vessel that reaches to his shoulders, arms extended at either side of the body, holding the rim of the vessel.",Logogram (brewer),ꜥf.ty,A37,A37,,unikemet
U1302B,U+1302B,𓀫,A-21-002,A038,C,"Man, standing, arms at either side of the body, holding the necks of two emblematic animals with panther heads, connected by a line which runs under the feet of the man. ",Logogram (Cusae),ḳꞽs,A38,A38,"32,5",unikemet
U1302C,U+1302C,𓀬,A-21-001,A039,C,"Man, standing on the back of two animals, which look either way, man arms extended at either side of the body, holding both heads of the animals.",Logogram (Cusae),ḳꞽs,A39,A39,"32,4",unikemet
U1302D,U+1302D,𓀭,A-26-005,A040,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig.",Classifier divinity,,A40,,"38,9",unikemet
U1302E,U+1302E,𓀮,A-26-013,A040A,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a holding a sceptre with a straight shaft, topped with the head of the Seth animal.",Classifier divinity,,A40A,A40A,"38,14",unikemet
U1302F,U+1302F,𓀯,A-26-008,A041,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus.",Logogram (first person singular),ꞽ,A41,A41,"38,11",unikemet
U13030,U+13030,𓀰,A-26-019,A042,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45).",Classifier king,n(y)-sw.t,A42,A42,"39,5",unikemet
U13031,U+13031,𓀱,A-26-029,A042A,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45) and crook (S38) with the opening inwards.",Logogram (first person singular),ꞽ,A42B,A42B,"39,14",unikemet
U13032,U+13032,𓀲,A-28-002,A043,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A).",Classifier king,,A43,,,unikemet
U13033,U+13033,𓀳,A-28-017,A043A,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (king of Upper Egypt),n.y-sw.t,A43M,A43M,"42,14",unikemet
U13034,U+13034,𓀴,A-28-010,A044,C,"King, seated, both knees up, with covered legs and arms, without beard, wearing the white crown with uraeus (S1A), holding a flagellum (S45).",Classifier king,n.y-sw.t,A44,A44,"42,7",unikemet
U13035,U+13035,𓀵,A-29-001,A045,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3).",Classifier king,bꞽ.ty,A45,A45,"44,4",unikemet
U13036,U+13036,𓀶,A-29-007,A045A,C,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Classifier king,n.y-sw.t,A45B,A45B,"44,9",unikemet
U13037,U+13037,𓀷,A-29-004,A046,C,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3), holding a flagellum (S45).",Classifier king,bꞽ.tyw,A46,A46,"44,6",unikemet
U13038,U+13038,𓀸,A-13-004,A047,C,"Man (shepherd), seated, both knees up, with covered legs and arms, with a short straight beard and short hair/wig, holding a stick which curves inwards, with a band of string or fabric, with the ties away from the body.",Logogram (to guard),sꜣw,A47,A47,"17,8",unikemet
U13039,U+13039,𓀹,A-13-030,A048,C,"Man, seated, both knees up, with covered legs and arms, with short hair/wig, holding an unknown object (mace/knife/stick?)","Logogram (relating to, belonging to)",ꞽr.y,A48,,,unikemet
U1303A,U+1303A,𓀺,A-13-032,A049,C,"Man, seated, both knees up, with covered legs and arms, with a short bushy beard and short hair/wig, holding a stick which angles slightly towards the body.",Classifier foreigner,,A49,,,unikemet
U1303B,U+1303B,𓀻,A-25-032,A050,C,"Man, with short straight beard, seated on a chair, no arms visible.",Logogram (to be noble),špsꞽ,A50,A50,"37,16",unikemet
U1303C,U+1303C,𓀼,A-25-005,A051,C,"Man, with a short straight beard, seated on a chair, both arms extended forward, forearms horizontal, one above another, holding a flagellum (S45).",Logogram (to be noble),šps,A51,A51,"36,9",unikemet
U1303D,U+1303D,𓀽,A-31-001,A052,C,"Man, seated, both knees down, with short straight beard, both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",Classifier name (deceased person),,A52,A52,"46,11",unikemet
U1303E,U+1303E,𓀾,A-32-001,A053,C,"A mummy with a long-curved beard, standing upright.",Classifier image/statue/likeness,,A53,A53,"47,5",unikemet
U1303F,U+1303F,𓀿,A-32-007,A054,C,"A mummy with a long-curved beard, lying horizontally.",Classifier body/corpse/death,,A54,A54,"47,6",unikemet
U13040,U+13040,𓁀,A-32-008,A055,C,"A mummy with a long-curved beard, lying horizontally on top of a bed.",Logogram (to sleep/to spend the night),sḏr,A55,A55,,unikemet
U13041,U+13041,𓁁,A-12-047,A056,C,"Man, seated, right knee raised, right arm raised in front, left arm in front of body, holding a stick which rests against the left shoulder. ",Classifier enemy,ḫft.y,A56,A56,,unikemet
U13042,U+13042,𓁂,A-29-029,A057,C,"King, standing, with a long straight beard, wearing the red crown (S3), both arms forwards, hands at the height of the belly/waist, holding a loaf of bread on a reed mat (R4) horizontally.",Logogram (an offering that the king gives),ḥtp-dꞽ-n.y-sw.t,A57,A57,,unikemet
U13043,U+13043,𓁃,A-12-012,A058,C,"Man, standing, back bent forward, both arms toward the front, holding a hoe with a rope connecting the two pieces (U6), with the forward piece at the level of the feet.",Classifier hacking,ḫbs,A58,A58,"16,4",unikemet
U13044,U+13044,𓁄,A-16-029,A059,C,"Man, standing, right arm forward, forearm and hand at the level of the waist, left arm raised, forearm vertically, holding a stick nearly horizontally.",Classifier driving away,sḥrꞽ,A59,A59,"22,15",unikemet
U13045,U+13045,𓁅,A-10-013,A060,C,"Man, standing, right arm forward, forearm horizontal, hand palm upwards, left arm backwards, upper arm horizontal, forearm nearly vertical, hand palm inwards, with a dotted line running between the hand palms.","Logogram (to sprinkle, to scatter)",stꞽ,A60,A60,,unikemet
U13046,U+13046,𓁆,A-02-033,A061,C,"Man, standing, head oriented backwards, with the arms hanging at either side of the body.",Logogram (to turn back),ꜥnn,A61,A61,"5,4",unikemet
U13047,U+13047,𓁇,A-02-004,A062,C,"Foreign man, with a bushy beard, standing, wearing a long dress, with the arms hanging at either side of the body.","Logogram (great one, chief)",wr,,,"3,12",unikemet
U13048,U+13048,𓁈,A-25-025,A063,C,,,,A63,A63,"37,12",unikemet
U13049,U+13049,𓁉,A-07-006,A064,C,"Man, seated on heel, both knees down, back straight, arm extended in front, forearm horizontal, holding a wide cup (W10). ","Classifier to lift, to carry",fꜣꞽ,A116,A116,"10,14",unikemet
U1304A,U+1304A,𓁊,A-27-023,A065,C,"Stylistic early dynastic form of a man, standing, holding a stick.",Logogram (the one who belongs to the god),ꞽr.y-nṯr,A469,A469,"41,11",unikemet
U1304B,U+1304B,𓁋,A-20-001,A066,C,"Man, standing, wearing kilt, right arm extended in front, held horizontally, holding a sistrum (Y18), left arm hanging beside the body.",Logogram (the musician/Ihy),ꞽḥy,A239,,"30,6",unikemet
U1304C,U+1304C,𓁌,A-24-001,A067,C,"A dwarf, standing, arms hanging at either side of the body.",Classifier personal name,,,,"36,5",unikemet
U1304D,U+1304D,𓁍,A-16-009,A068,C,"Man, standing, right arm forward, forearm horizontal at the height of the waist, holding a knife (T30) at a forward angle, left arm hanging beside the body.",Logogram (messenger),wpw.ty,A199A,A199A,"21,14",unikemet
U1304E,U+1304E,𓁎,A-01-008,A069,C,"Man, seated, right knee raised, right arm raised, left arm hanging beside the body.",Classifier occupation/relationship,,A71,A71,"1,5",unikemet
U1304F,U+1304F,𓁏,C-13-001,A070,C,"Man, seated, right knee raised, raised arms at either side of the body, hands held vertically, with the hand palms inwards.","Logogram (million, many)",ḥḥ,A73,A73,"68,13",unikemet
U13050,U+13050,𓁐,B-01-003,B001,C,"Woman, seated, both knees up, with covered legs and arms, with long hair.",Classifier female,,B1,B1,"48,3",unikemet
U13051,U+13051,𓁑,B-09-002,B002,C,"Woman, pregnant, seated, both knees down, with a band of cloth around the head, right arm forward, angling down towards the knee, left arm hanging beside the body.",Classifier pregnant,ꞽwr,B2,B2,"54,2",unikemet
U13052,U+13052,𓁒,B-09-011,B003,C,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with the head and arms of a child coming from the legs.",Classifier birth,msꞽ,B3,B3,"54,5",unikemet
U13053,U+13053,𓁓,B-09-004,B004,C,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with three vertical lines coming from the legs.",Classifier birth,msꞽ,B4,B4,,unikemet
U13054,U+13054,𓁔,B-09-014,B005,C,"Woman, seated, both knees down, nursing a child, seated on her lap, left arm forward, hand over the chest of the woman, right arm hanging beside the body; right arm forward, embracing/holding the child, left arm over the chest.","Classifier nursing, rearing",rnn,B5,B5,"54,8",unikemet
U13055,U+13055,𓁕,B-02-010,B005A,C,"Woman, seated, both knees down, with long hair and a band of cloth around the head, bound at the back, with two sticks forming a cross-like structure over the legs.",Logogram weaver or nurse,? | mnḫ.t,B104,,,unikemet
U13056,U+13056,𓁖,B-09-020,B006,C,"Woman, seated on a block throne, with a child on her lap, facing her, both arms down; both arms forward, right arm behind the child, left arm in front of the child.","Classifier nursing, rearing",rnn,B6,B6,"54,13",unikemet
U13057,U+13057,𓁗,B-01-022,B007,C,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a flower which curves forward, with the flower orientated downwards.",Classifier female royalty,,B7,B7,"49,6",unikemet
U13058,U+13058,𓁘,B-02-002,B008,C,"Woman, seated, both knees down, no arms visible, with a flower on the knee, which curves towards the face, with the flower in front of the face.",Classifier human being (together with A1),ḥr.w-nb,B8,B8,"49,15",unikemet
U13059,U+13059,𓁙,B-08-005,B009,C,"Woman, standing, with long hair, right arm extended forward, hand at the height of the shoulder, holding a sistrum (Y18), vertically, left arm hanging beside the body.",Logogram (the musician),ꞽḥ.yt,B47,B47,"53,10",unikemet
U1305A,U+1305A,𓁚,C-24-002,C001,C,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long wig/hair, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head.",Logogram (Re),rꜥ,C1,C1,"76,5",unikemet
U1305B,U+1305B,𓁛,C-09-029,C002,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Re),rꜥ,C2,C2,"63,7",unikemet
U1305C,U+1305C,𓁜,C-09-017,C002A,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head.",Logogram (Re),rꜥ,C2A,C2A,"62,9",unikemet
U1305D,U+1305D,𓁝,C-09-018,C002B,L,,,,,,"62,10",unikemet
U1305E,U+1305E,𓁞,C-09-030,C002C,L,,,,,,"63,8",unikemet
U1305F,U+1305F,𓁟,C-31-001,C003,C,"God, seated, knees up, with covered legs and arms, with the head of an ibis.",Logogram (Thot),ḏhwty,C3,C3,"78,8",unikemet
U13060,U+13060,𓁠,C-15-001,C004,C,"God, seated, knees up, with covered legs and arms, with the head of a ram, with horizontal twisted horns.",Classifier Khnum,ẖnm.w,C4,C4,"71,3",unikemet
U13061,U+13061,𓁡,C-15-007,C005,C,"God, seated, knees up, with covered legs and arms, with the head of a ram with horizontal twisted horns, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram/phonemogram (who joins with life),ẖnm.t-ꜥnḫ,C5,C5,"71,8",unikemet
U13062,U+13062,𓁢,C-04-001,C006,C,"God, seated, knees up, with covered legs and arms, with the head of a jackal.",Classifier Anubis/Wepwawet (divinity),,C6,C6,"58,10",unikemet
U13063,U+13063,𓁣,C-26-001,C007,C,"God, seated, knees up, with covered legs and arms, with the head of a Seth animal.",Logogram (Seth),stš/stẖ,C7,C7,"76,9",unikemet
U13064,U+13064,𓁤,C-17-001,C008,C,"An ithyphallic god, with long, curved beard, standing on a platform, wearing a double plume headdress, with a line coming from the back of the head, running down to the base, arm raised in back, with a flagellum (S45) written over the arm.",Classifier Min,gb.tyw,C8,C8,"72,5",unikemet
U13065,U+13065,𓁥,C-35-002,C009,C,"Goddess, seated, knees up, with covered legs and arms, with a headdress of bovine horns with a sun disk (F102).",Logogram (Hathor),ḥw.t-ḥr,,C9,"80,8",unikemet
U13066,U+13066,𓁦,C-37-002,C010,C,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head.",Logogram (Maat),mꜣꜥ.t,C10,C10,"85,7",unikemet
U13067,U+13067,𓁧,C-37-005,C010A,C,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Maat),mꜣꜥ.t,C10A,C10A,"86,1",unikemet
U13068,U+13068,𓁨,C-13-004,C011,C,"God, seated on heel, right knee raised, with long-curved beard and coif, with a palm branch, stripped of leaves and notched on his head (M4), notch forward, raised arms at either side of the body, hands held vertically, with the hand palms inwards.","Logogram (million, many)",ḥḥ,C11,,,unikemet
U13069,U+13069,𓁩,C-03-003,C012,C,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (Amon),ꞽmn,C12,C12,"57,9",unikemet
U1306A,U+1306A,𓁪,C-03-010,C013,L,,,,,,"58,6",unikemet
U1306B,U+1306B,𓁫,C-03-011,C014,C,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a khopesh sword (T16A) vertically.",Logogram (Amon is his strength (sꜣ-rꜥ name Ramses VI)),ꞽmn-ḥr-ḫpš=f,C12F,C12F,"58,7",unikemet
U1306C,U+1306C,𓁬,C-03-013,C015,L,,,,,,,unikemet
U1306D,U+1306D,𓁭,A-30-004,C016,C,"God, seated, both knees up, with covered legs and arms, with a long, curved beard, wearing the double crown (S5), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Atum),ꞽtmw,,,,unikemet
U1306E,U+1306E,𓁮,C-09-078,C017,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, wearing a headdress consisting of two plumes with a sun disk (S63A/S70), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Classifier Montu (divinity),,C17,C17,"65,6",unikemet
U1306F,U+1306F,𓁯,C-30-002,C018,C,"God, seated, both knees down, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77).",Classifier Tatenen,tꜣ-ṯnn,,,,unikemet
U13070,U+13070,𓁰,C-23-016,C019,C,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically.",Classifier Ptah,ptḥ,C19,C19,"75,11",unikemet
U13071,U+13071,𓁱,C-23-023,C020,C,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom, and the vertically oriented head of the Seth animal (S040), of the same size as the god, adorned with an ankh sign (S034) and a djed pillar (R011); enclosed within a shrine supported by columns resembling papyrus stems with buds (M013).",Logogram (Ptah),ptḥ,C20,C20,"76,3",unikemet
U13072,U+13072,𓁲,C-07-001,C021,C,"Bes figure, seen from the front, with tail between the legs and headdress, arms downwards, hands behind the back.",Phonemogram,bs,C33,C33,"60,12",unikemet
U13073,U+13073,𓁳,C-09-086,C022,C,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a crescent moon with the entire moon disk (N62) on its head.",Classifier moon,ꞽꜥḥ,C49B,C49B,,unikemet
U13074,U+13074,𓁴,C-36-015,C023,C,"Goddess, seated, knees up, with covered legs and arms, with the head of a lion/lioness, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on her head.",Logogram (Sekhmet),sḫm.t,C165,C165,"84,8",unikemet
U13075,U+13075,𓁵,C-40-006,C024,C,"Goddess, seated, knees up, with covered legs and arms, wearing the red crown (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Logogram (Neith),n.t,C185B,C185B,"88,1",unikemet
U13076,U+13076,𓁶,D-01-001,D001,C,"The head of a human man, seen in profile, with a short straight beard.",Logogram (head),tp,D1,D1,"94,1",unikemet
U13077,U+13077,𓁷,D-02-001,D002,C,The face of a human man.,Phonemogram,ḥr,D2,D2,"94,12",unikemet
U13078,U+13078,𓁸,D-04-004,D003,C,A lock of hair with three strands.,Classifier hair,,D3,D3,,unikemet
U13079,U+13079,𓁹,D-05-001,D004,C,An eye.,Phonemogram,ꞽr,D4,D4,"96,14",unikemet
U1307A,U+1307A,𓁺,D-06-007,D005,C,An eye with two touches of eye paint above the eye.,Classifier eye related actions,dgꞽ,D5,D5,,unikemet
U1307B,U+1307B,𓁻,D-06-001,D006,C,"An eye, with a line of eye-paint above the eye.",Classifier eye related actions,dgꞽ,D6,D6,"97,4",unikemet
U1307C,U+1307C,𓁼,D-06-020,D007,C,An eye with a painted lower lid.,Phonemogram,ꜥntyw,D7,D7,"98,1",unikemet
U1307D,U+1307D,𓁽,D-06-026,D008,C,"An eye, written inside an oval.",Phonemogram,ꜥn,D8,D8,"98,2",unikemet
U1307E,U+1307E,𓁾,D-06-030,D008A,C,An eye with a painted lower lid inside an oval.,Phonemogram,ꜥn,D8A,D8A,"98,5",unikemet
U1307F,U+1307F,𓁿,D-07-001,D009,C,"An eye, with three lines coming from the bottom.",Logogram (to weep),rmꞽ,D9,D9,,unikemet
U13080,U+13080,𓂀,D-08-002,D010,C,"An eye, with the markings of the head of a falcon.",Logogram (udjat eye),wḏꜣ.t,D10,D10,"99,1",unikemet
U13081,U+13081,𓂁,D-09-001,D011,C,The left part of the white of an eye.,Logogram 1/2,,D11,D11,"99,7",unikemet
U13082,U+13082,𓂂,D-09-002,D012,C,The pupil of an eye.,Classifier pupil,ḏfḏ,D12,D12,"99,8",unikemet
U13083,U+13083,𓂃,D-09-005,D013,C,An eyebrow.,Classifier eyebrow,ꞽnḥ,D13,D13,"99,10",unikemet
U13084,U+13084,𓂄,D-09-009,D014,C,The right part of the white of an eye.,Logogram 1/16,,D14,D14,"99,13",unikemet
U13085,U+13085,𓂅,D-09-010,D015,C,The right lower marking of an udjat eye.,Logogram 1/32,,D15,D15,,unikemet
U13086,U+13086,𓂆,D-09-011,D016,C,The left lower marking of an udjat eye.,Logogram 1/64,,D16,D16,,unikemet
U13087,U+13087,𓂇,D-09-012,D017,C,The left and right lower marking of an udjat eye.,"Logogram (figure, image)",tꞽ.t,D17,D17,"99,14",unikemet
U13088,U+13088,𓂈,D-10-001,D018,C,The ear of a human.,Logogram (ear),msḏr,D18,D18,"100,6",unikemet
U13089,U+13089,𓂉,D-11-001,D019,C,"The nose, eye and cheek of a human.",Classifier nose,šr.t,D19,D19,"100,7",unikemet
U1308A,U+1308A,𓂊,D-11-002,D020,C,"The nose, eye and cheek of a human, written in a semi-cursive fashion.",Classifier nose,fnḏ,D20,D20,"100,8",unikemet
U1308B,U+1308B,𓂋,D-12-001,D021,C,A mouth.,Phonemogram,r,D21,D21,"100,11",unikemet
