ID,Variant,Traditional,Variant_Codepoint,Traditional_Codepoint,Source
U-94A0,钠,鈉,U+94A0,U+9209,unihan
U-94A1,钡,鋇,U+94A1,U+92C7,unihan
U-94A2,钢,鋼,U+94A2,U+92FC,unihan
U-94A3,钣,鈑,U+94A3,U+9211,unihan
U-94A4,钤,鈐,U+94A4,U+9210,unihan
U-94A5,钥,鑰,U+94A5,U+9470,unihan
U-94A6,钦,欽,U+94A6,U+6B3D,unihan
U-94A7,钧,鈞,U+94A7,U+921E,unihan
U-94A8,钨,鎢,U+94A8,U+93A2,unihan
U-94AA,钪,鈧,U+94AA,U+9227,unihan
U-94AB,钫,鈁,U+94AB,U+9201,unihan
U-94AC,钬,鈥,U+94AC,U+9225,unihan
U-94AD,钭,鈄,U+94AD,U+9204,unihan
U-94AE,钮,鈕,U+94AE,U+9215,unihan
U-94AF,钯,鈀,U+94AF,U+9200,unihan
U-94B0,钰,鈺,U+94B0,U+923A,unihan
U-94B1,钱,錢,U+94B1,U+9322,unihan
U-94B2,钲,鉦,U+94B2,U+9266,unihan
U-94B3,钳,鉗,U+94B3,U+9257,unihan
U-94B4,钴,鈷,U+94B4,U+9237,unihan
U-94B6,钶,鈳,U+94B6,U+9233,unihan
U-94B7,钷,鉕,U+94B7,U+9255,unihan
U-94B8,钸,鈽,U+94B8,U+923D,unihan
U-94B9,钹,鈸,U+94B9,U+9238,unihan
U-94BA,钺,鉞,U+94BA,U+925E,unihan
U-94BB,钻,鑽,U+94BB,U+947D,unihan
U-94BC,钼,鉬,U+94BC,U+926C,unihan
U-94BD,钽,鉭,U+94BD,U+926D,unihan
U-94BE,钾,鉀,U+94BE,U+9240,unihan
U-94BF,钿,鈿,U+94BF,U+923F,unihan
U-94C0,铀,鈾,U+94C0,U+923E,unihan
U-94C1,铁,鐵,U+94C1,U+9435,unihan
U-94C2,铂,鉑,U+94C2,U+9251,unihan
U-94C3,铃,鈴,U+94C3,U+9234,unihan
U-94C4,铄,鑠,U+94C4,U+9460,unihan
U-94C5,铅,鉛,U+94C5,U+925B,unihan
U-94C6,铆,鉚,U+94C6,U+925A,unihan
U-94C7,铇,鉋,U+94C7,U+924B,unihan
U-94C8,铈,鈰,U+94C8,U+9230,unihan
U-94C9,铉,鉉,U+94C9,U+9249,unihan
U-94CA,铊,鉈,U+94CA,U+9248,unihan
U-94CB,铋,鉍,U+94CB,U+924D,unihan
U-94CC,铌,鈮,U+94CC,U+922E,unihan
U-94CD,铍,鈹,U+94CD,U+9239,unihan
U-94CE,铎,鐸,U+94CE,U+9438,unihan
U-94CF,铏,鉶,U+94CF,U+9276,unihan
U-94D0,铐,銬,U+94D0,U+92AC,unihan
U-94D1,铑,銠,U+94D1,U+92A0,unihan
U-94D2,铒,鉺,U+94D2,U+927A,unihan
U-94D3,铓,鋩,U+94D3,U+92E9,unihan
U-94D4,铔,錏,U+94D4,U+930F,unihan
U-94D5,铕,銪,U+94D5,U+92AA,unihan
U-94D6,铖,鋮,U+94D6,U+92EE,unihan
U-94D7,铗,鋏,U+94D7,U+92CF,unihan
U-94D8,铘,鋣,U+94D8,U+92E3,unihan
U-94D9,铙,鐃,U+94D9,U+9403,unihan
U-94DA,铚,銍,U+94DA,U+928D,unihan
U-94DB,铛,鐺,U+94DB,U+943A,unihan
U-94DC,铜,銅,U+94DC,U+9285,unihan
U-94DD,铝,鋁,U+94DD,U+92C1,unihan
U-94DE,铞,銱,U+94DE,U+92B1,unihan
U-94DF,铟,銦,U+94DF,U+92A6,unihan
U-94E0,铠,鎧,U+94E0,U+93A7,unihan
U-94E1,铡,鍘,U+94E1,U+9358,unihan
U-94E2,铢,銖,U+94E2,U+9296,unihan
U-94E3,铣,銑,U+94E3,U+9291,unihan
U-94E4,铤,鋌,U+94E4,U+92CC,unihan
U-94E5,铥,銩,U+94E5,U+92A9,unihan
U-94E6,铦,銛,U+94E6,U+929B,unihan
U-94E7,铧,鏵,U+94E7,U+93F5,unihan
U-94E8,铨,銓,U+94E8,U+9293,unihan
U-94E9,铩,鎩,U+94E9,U+93A9,unihan
U-94EA,铪,鉿,U+94EA,U+927F,unihan
U-94EB,铫,銚,U+94EB,U+929A,unihan
U-94EC,铬,鉻,U+94EC,U+927B,unihan
U-94ED,铭,銘,U+94ED,U+9298,unihan
U-94EE,铮,錚,U+94EE,U+931A,unihan
U-94EF,铯,銫,U+94EF,U+92AB,unihan
U-94F0,铰,鉸,U+94F0,U+9278,unihan
U-94F1,铱,銥,U+94F1,U+92A5,unihan
U-94F2,铲,鏟,U+94F2,U+93DF,unihan
U-94F3,铳,銃,U+94F3,U+9283,unihan
U-94F4,铴,鐋,U+94F4,U+940B,unihan
U-94F5,铵,銨,U+94F5,U+92A8,unihan
U-94F6,银,銀,U+94F6,U+9280,unihan
U-94F7,铷,銣,U+94F7,U+92A3,unihan
U-94F8,铸,鑄,U+94F8,U+9444,unihan
U-94F9,铹,鐒,U+94F9,U+9412,unihan
U-94FA,铺,鋪,U+94FA,U+92EA,unihan
U-94FB,铻,鋙,U+94FB,U+92D9,unihan
U-94FC,铼,錸,U+94FC,U+9338,unihan
U-94FD,铽,鋱,U+94FD,U+92F1,unihan
U-94FE,链,鏈,U+94FE,U+93C8,unihan
U-94FF,铿,鏗,U+94FF,U+93D7,unihan
U-9500,销,銷,U+9500,U+92B7,unihan
U-9501,锁,鎖,U+9501,U+9396,unihan
U-9502,锂,鋰,U+9502,U+92F0,unihan
U-9503,锃,鋥,U+9503,U+92E5,unihan
U-9504,锄,鋤,U+9504,U+92E4,unihan
U-9505,锅,鍋,U+9505,U+934B,unihan
U-9506,锆,鋯,U+9506,U+92EF,unihan
U-9507,锇,鋨,U+9507,U+92E8,unihan
U-9509,锉,銼,U+9509,U+92BC,unihan
U-950A,锊,鋝,U+950A,U+92DD,unihan
U-950B,锋,鋒,U+950B,U+92D2,unihan
U-950C,锌,鋅,U+950C,U+92C5,unihan
U-950D,锍,鋶,U+950D,U+92F6,unihan
U-950E,锎,鐦,U+950E,U+9426,unihan
U-950F,锏,鐧,U+950F,U+9427,unihan
U-9510,锐,銳,U+9510,U+92B3,unihan
U-9511,锑,銻,U+9511,U+92BB,unihan
U-9512,锒,鋃,U+9512,U+92C3,unihan
U-9513,锓,鋟,U+9513,U+92DF,unihan
U-9514,锔,鋦,U+9514,U+92E6,unihan
U-9515,锕,錒,U+9515,U+9312,unihan
U-9516,锖,錆,U+9516,U+9306,unihan
U-9517,锗,鍺,U+9517,U+937A,unihan
U-9518,锘,鍩,U+9518,U+9369,unihan
U-9519,错,錯,U+9519,U+932F,unihan
U-951A,锚,錨,U+951A,U+9328,unihan
U-951B,锛,錛,U+951B,U+931B,unihan
U-951C,锜,錡,U+951C,U+9321,unihan
U-951D,锝,鍀,U+951D,U+9340,unihan
U-951E,锞,錁,U+951E,U+9301,unihan
U-951F,锟,錕,U+951F,U+9315,unihan
U-9520,锠,錩,U+9520,U+9329,unihan
U-9521,锡,錫,U+9521,U+932B,unihan
U-9522,锢,錮,U+9522,U+932E,unihan
U-9523,锣,鑼,U+9523,U+947C,unihan
U-9524,锤,錘,U+9524,U+9318,unihan
U-9525,锥,錐,U+9525,U+9310,unihan
U-9526,锦,錦,U+9526,U+9326,unihan
U-9527,锧,鑕,U+9527,U+9455,unihan
U-9528,锨,鍁,U+9528,U+9341,unihan
U-9529,锩,錈,U+9529,U+9308,unihan
U-952A,锪,鍃,U+952A,U+9343,unihan
U-952B,锫,錇,U+952B,U+9307,unihan
U-952C,锬,錟,U+952C,U+931F,unihan
U-952D,锭,錠,U+952D,U+9320,unihan
U-952E,键,鍵,U+952E,U+9375,unihan
U-952F,锯,鋸,U+952F,U+92F8,unihan
U-9530,锰,錳,U+9530,U+9333,unihan
U-9531,锱,錙,U+9531,U+9319,unihan
U-9532,锲,鍥,U+9532,U+9365,unihan
U-9533,锳,鍈,U+9533,U+9348,unihan
U-9534,锴,鍇,U+9534,U+9347,unihan
U-9535,锵,鏘,U+9535,U+93D8,unihan
U-9536,锶,鍶,U+9536,U+9376,unihan
U-9537,锷,鍔,U+9537,U+9354,unihan
U-9538,锸,鍤,U+9538,U+9364,unihan
U-9539,锹,鍬,U+9539,U+936C,unihan
U-953A,锺,鍾,U+953A,U+937E,unihan
U-953B,锻,鍛,U+953B,U+935B,unihan
U-953C,锼,鎪,U+953C,U+93AA,unihan
U-953D,锽,鍠,U+953D,U+9360,unihan
U-953E,锾,鍰,U+953E,U+9370,unihan
U-953F,锿,鎄,U+953F,U+9384,unihan
U-9540,镀,鍍,U+9540,U+934D,unihan
U-9541,镁,鎂,U+9541,U+9382,unihan
U-9542,镂,鏤,U+9542,U+93E4,unihan
U-9543,镃,鎡,U+9543,U+93A1,unihan
U-9544,镄,鐨,U+9544,U+9428,unihan
U-9545,镅,鎇,U+9545,U+9387,unihan
U-9546,镆,鏌,U+9546,U+93CC,unihan
U-9547,镇,鎭,U+9547,U+93AD,unihan
U-9548,镈,鎛,U+9548,U+939B,unihan
U-9549,镉,鎘,U+9549,U+9398,unihan
U-954A,镊,鑷,U+954A,U+9477,unihan
U-954D,镍,鎳,U+954D,U+93B3,unihan
U-954E,镎,鎿,U+954E,U+93BF,unihan
U-954F,镏,鎦,U+954F,U+93A6,unihan
U-9550,镐,鎬,U+9550,U+93AC,unihan
U-9551,镑,鎊,U+9551,U+938A,unihan
U-9552,镒,鎰,U+9552,U+93B0,unihan
U-9553,镓,鎵,U+9553,U+93B5,unihan
U-9554,镔,鑌,U+9554,U+944C,unihan
U-9555,镕,鎔,U+9555,U+9394,unihan
U-9556,镖,鏢,U+9556,U+93E2,unihan
U-9557,镗,鏜,U+9557,U+93DC,unihan
U-9558,镘,鏝,U+9558,U+93DD,unihan
U-9559,镙,鏍,U+9559,U+93CD,unihan
U-955A,镚,鏰,U+955A,U+93F0,unihan
U-955B,镛,鏞,U+955B,U+93DE,unihan
U-955C,镜,鏡,U+955C,U+93E1,unihan
U-955D,镝,鏑,U+955D,U+93D1,unihan
U-955E,镞,鏃,U+955E,U+93C3,unihan
U-955F,镟,鏇,U+955F,U+93C7,unihan
U-9560,镠,鏐,U+9560,U+93D0,unihan
U-9561,镡,鐔,U+9561,U+9414,unihan
U-9562,镢,鐝,U+9562,U+941D,unihan
U-9563,镣,鐐,U+9563,U+9410,unihan
U-9564,镤,鏷,U+9564,U+93F7,unihan
U-9565,镥,鑥,U+9565,U+9465,unihan
U-9566,镦,鐓,U+9566,U+9413,unihan
U-9567,镧,鑭,U+9567,U+946D,unihan
U-9568,镨,鐠,U+9568,U+9420,unihan
U-9569,镩,鑹,U+9569,U+9479,unihan
U-956A,镪,鏹,U+956A,U+93F9,unihan
U-956B,镫,鐙,U+956B,U+9419,unihan
U-956C,镬,鑊,U+956C,U+944A,unihan
U-956D,镭,鐳,U+956D,U+9433,unihan
U-956E,镮,鐶,U+956E,U+9436,unihan
U-956F,镯,鐲,U+956F,U+9432,unihan
U-9570,镰,鐮,U+9570,U+942E,unihan
U-9571,镱,鐿,U+9571,U+943F,unihan
U-9572,镲,鑔,U+9572,U+9454,unihan
U-9573,镳,鑣,U+9573,U+9463,unihan
U-9574,镴,鑞,U+9574,U+945E,unihan
U-9575,镵,鑱,U+9575,U+9471,unihan
U-9576,镶,鑲,U+9576,U+9472,unihan
U-957F,长,長,U+957F,U+9577,unihan
U-95E8,门,門,U+95E8,U+9580,unihan
U-95E9,闩,閂,U+95E9,U+9582,unihan
U-95EA,闪,閃,U+95EA,U+9583,unihan
U-95EB,闫,閆,U+95EB,U+9586,unihan
U-95EC,闬,閈,U+95EC,U+9588,unihan
U-95ED,闭,閉,U+95ED,U+9589,unihan
U-95EE,问,問,U+95EE,U+554F,unihan
U-95EF,闯,闖,U+95EF,U+95D6,unihan
U-95F0,闰,閏,U+95F0,U+958F,unihan
U-95F1,闱,闈,U+95F1,U+95C8,unihan
U-95F3,闳,閎,U+95F3,U+958E,unihan
U-95F4,间,間,U+95F4,U+9593,unihan
U-95F5,闵,閔,U+95F5,U+9594,unihan
U-95F6,闶,閌,U+95F6,U+958C,unihan
U-95F7,闷,悶,U+95F7,U+60B6,unihan
U-95F8,闸,閘,U+95F8,U+9598,unihan
U-95F9,闹,鬧,U+95F9,U+9B27,unihan
U-95FA,闺,閨,U+95FA,U+95A8,unihan
U-95FB,闻,聞,U+95FB,U+805E,unihan
U-95FC,闼,闥,U+95FC,U+95E5,unihan
U-95FD,闽,閩,U+95FD,U+95A9,unihan
U-95FE,闾,閭,U+95FE,U+95AD,unihan
U-95FF,闿,闓,U+95FF,U+95D3,unihan
U-9600,阀,閥,U+9600,U+95A5,unihan
U-9601,阁,閣,U+9601,U+95A3,unihan
U-9602,阂,閡,U+9602,U+95A1,unihan
U-9603,阃,閫,U+9603,U+95AB,unihan
U-9604,阄,鬮,U+9604,U+9B2E,unihan
U-9606,阆,閬,U+9606,U+95AC,unihan
U-9607,阇,闍,U+9607,U+95CD,unihan
U-9608,阈,閾,U+9608,U+95BE,unihan
U-9609,阉,閹,U+9609,U+95B9,unihan
U-960A,阊,閶,U+960A,U+95B6,unihan
U-960B,阋,鬩,U+960B,U+9B29,unihan
U-960C,阌,閿,U+960C,U+95BF,unihan
U-960D,阍,閽,U+960D,U+95BD,unihan
U-960E,阎,閻,U+960E,U+95BB,unihan
U-960F,阏,閼,U+960F,U+95BC,unihan
U-9610,阐,闡,U+9610,U+95E1,unihan
U-9611,阑,闌,U+9611,U+95CC,unihan
U-9612,阒,闃,U+9612,U+95C3,unihan
U-9613,阓,闠,U+9613,U+95E0,unihan
U-9614,阔,闊,U+9614,U+95CA,unihan
U-9615,阕,闋,U+9615,U+95CB,unihan
U-9616,阖,闔,U+9616,U+95D4,unihan
U-9617,阗,闐,U+9617,U+95D0,unihan
U-9618,阘,闒,U+9618,U+95D2,unihan
U-9619,阙,闕,U+9619,U+95D5,unihan
U-961A,阚,闞,U+961A,U+95DE,unihan
U-961B,阛,闤,U+961B,U+95E4,unihan
U-961F,队,隊,U+961F,U+968A,unihan
U-9633,阳,陽,U+9633,U+967D,unihan
U-9634,阴,陰,U+9634,U+9670,unihan
U-9635,阵,陣,U+9635,U+9663,unihan
U-9636,阶,階,U+9636,U+968E,unihan
U-9646,陆,陸,U+9646,U+9678,unihan
U-9647,陇,隴,U+9647,U+96B4,unihan
U-9648,陈,陳,U+9648,U+9673,unihan
U-9649,陉,陘,U+9649,U+9658,unihan
U-9655,陕,陝,U+9655,U+965D,unihan
U-9666,陦,隯,U+9666,U+96AF,unihan
U-9667,陧,隉,U+9667,U+9689,unihan
U-9668,陨,隕,U+9668,U+9695,unihan
U-9669,险,險,U+9669,U+96AA,unihan
U-96B8,隸,隷,U+96B8,U+96B7,unihan
U-96CF,雏,雛,U+96CF,U+96DB,unihan
U-96E0,雠,讎,U+96E0,U+8B8E,unihan
U-96F3,雳,靂,U+96F3,U+9742,unihan
U-96FE,雾,霧,U+96FE,U+9727,unihan
U-9701,霁,霽,U+9701,U+973D,unihan
U-972D,霭,靄,U+972D,U+9744,unihan
U-9753,靓,靚,U+9753,U+975A,unihan
U-9765,靥,靨,U+9765,U+9768,unihan
U-9791,鞑,韃,U+9791,U+97C3,unihan
U-9792,鞒,鞽,U+9792,U+97BD,unihan
U-97AF,鞯,韉,U+97AF,U+97C9,unihan
U-97E6,韦,韋,U+97E6,U+97CB,unihan
U-97E7,韧,韌,U+97E7,U+97CC,unihan
U-97E8,韨,韍,U+97E8,U+97CD,unihan
U-97E9,韩,韓,U+97E9,U+97D3,unihan
U-97EA,韪,韙,U+97EA,U+97D9,unihan
U-97EB,韫,韞,U+97EB,U+97DE,unihan
U-97EC,韬,韜,U+97EC,U+97DC,unihan
U-9875,页,頁,U+9875,U+9801,unihan
U-9876,顶,頂,U+9876,U+9802,unihan
U-9877,顷,頃,U+9877,U+9803,unihan
U-9878,顸,頇,U+9878,U+9807,unihan
U-9879,项,項,U+9879,U+9805,unihan
U-987A,顺,順,U+987A,U+9806,unihan
U-987C,顼,頊,U+987C,U+980A,unihan
U-987D,顽,頑,U+987D,U+9811,unihan
U-987E,顾,顧,U+987E,U+9867,unihan
U-987F,顿,頓,U+987F,U+9813,unihan
U-9880,颀,頎,U+9880,U+980E,unihan
U-9881,颁,頒,U+9881,U+9812,unihan
U-9882,颂,頌,U+9882,U+980C,unihan
U-9883,颃,頏,U+9883,U+980F,unihan
U-9884,预,預,U+9884,U+9810,unihan
U-9885,颅,顱,U+9885,U+9871,unihan
U-9886,领,領,U+9886,U+9818,unihan
U-9887,颇,頗,U+9887,U+9817,unihan
U-9888,颈,頸,U+9888,U+9838,unihan
U-9889,颉,頡,U+9889,U+9821,unihan
U-988A,颊,頰,U+988A,U+9830,unihan
U-988B,颋,頲,U+988B,U+9832,unihan
U-988C,颌,頜,U+988C,U+981C,unihan
U-988D,颍,潁,U+988D,U+6F41,unihan
U-988E,颎,熲,U+988E,U+71B2,unihan
U-988F,颏,頦,U+988F,U+9826,unihan
U-9890,颐,頤,U+9890,U+9824,unihan
U-9891,频,頻,U+9891,U+983B,unihan
U-9892,颒,頮,U+9892,U+982E,unihan
U-9894,颔,頷,U+9894,U+9837,unihan
U-9895,颕,頴,U+9895,U+9834,unihan
U-9896,颖,穎,U+9896,U+7A4E,unihan
U-9897,颗,顆,U+9897,U+9846,unihan
U-9898,题,題,U+9898,U+984C,unihan
U-9899,颙,顒,U+9899,U+9852,unihan
U-989A,颚,顎,U+989A,U+984E,unihan
U-989B,颛,顓,U+989B,U+9853,unihan
U-989D,额,額,U+989D,U+984D,unihan
U-989E,颞,顳,U+989E,U+9873,unihan
U-989F,颟,顢,U+989F,U+9862,unihan
U-98A0,颠,顛,U+98A0,U+985B,unihan
U-98A1,颡,顙,U+98A1,U+9859,unihan
U-98A2,颢,顥,U+98A2,U+9865,unihan
U-98A3,颣,纇,U+98A3,U+7E87,unihan
U-98A4,颤,顫,U+98A4,U+986B,unihan
U-98A5,颥,顬,U+98A5,U+986C,unihan
U-98A6,颦,顰,U+98A6,U+9870,unihan
U-98A7,颧,顴,U+98A7,U+9874,unihan
U-98CF,飏,颺,U+98CF,U+98BA,unihan
U-98D0,飐,颭,U+98D0,U+98AD,unihan
U-98D1,飑,颮,U+98D1,U+98AE,unihan
U-98D2,飒,颯,U+98D2,U+98AF,unihan
U-98D3,飓,颶,U+98D3,U+98B6,unihan
U-98D4,飔,颸,U+98D4,U+98B8,unihan
U-98D5,飕,颼,U+98D5,U+98BC,unihan
U-98D6,飖,颻,U+98D6,U+98BB,unihan
U-98D7,飗,飀,U+98D7,U+98C0,unihan
U-98D8,飘,飄,U+98D8,U+98C4,unihan
U-98D9,飙,飆,U+98D9,U+98C6,unihan
U-98DA,飚,飈,U+98DA,U+98C8,unihan
U-98DE,飞,飛,U+98DE,U+98DB,unihan
U-98E8,飨,饗,U+98E8,U+9957,unihan
U-98F2,飲,飮,U+98F2,U+98EE,unihan
U-990D,餍,饜,U+990D,U+995C,unihan
U-9963,饣,飠,U+9963,U+98E0,unihan
U-9964,饤,飣,U+9964,U+98E3,unihan
U-9966,饦,飥,U+9966,U+98E5,unihan
U-9967,饧,餳,U+9967,U+9933,unihan
U-9968,饨,飩,U+9968,U+98E9,unihan
U-9969,饩,餼,U+9969,U+993C,unihan
U-996A,饪,飪,U+996A,U+98EA,unihan
U-996B,饫,飫,U+996B,U+98EB,unihan
U-996C,饬,飭,U+996C,U+98ED,unihan
U-996D,饭,飯,U+996D,U+98EF,unihan
U-996E,饮,飮,U+996E,U+98EE,unihan
U-996F,饯,餞,U+996F,U+991E,unihan
U-9970,饰,飾,U+9970,U+98FE,unihan
U-9971,饱,飽,U+9971,U+98FD,unihan
U-9972,饲,飼,U+9972,U+98FC,unihan
U-9973,饳,飿,U+9973,U+98FF,unihan
U-9974,饴,飴,U+9974,U+98F4,unihan
U-9975,饵,餌,U+9975,U+990C,unihan
U-9976,饶,饒,U+9976,U+9952,unihan
U-9977,饷,餉,U+9977,U+9909,unihan
U-9978,饸,餄,U+9978,U+9904,unihan
U-9979,饹,餎,U+9979,U+990E,unihan
U-997A,饺,餃,U+997A,U+9903,unihan
U-997B,饻,餏,U+997B,U+990F,unihan
U-997C,饼,餅,U+997C,U+9905,unihan
U-997D,饽,餑,U+997D,U+9911,unihan
U-997E,饾,餖,U+997E,U+9916,unihan
U-997F,饿,餓,U+997F,U+9913,unihan
U-9980,馀,餘,U+9980,U+9918,unihan
U-9981,馁,餒,U+9981,U+9912,unihan
U-9982,馂,餕,U+9982,U+9915,unihan
U-9983,馃,餜,U+9983,U+991C,unihan
U-9984,馄,餛,U+9984,U+991B,unihan
U-9985,馅,餡,U+9985,U+9921,unihan
U-9986,馆,館,U+9986,U+9928,unihan
U-9987,馇,餷,U+9987,U+9937,unihan
U-9988,馈,饋,U+9988,U+994B,unihan
U-9989,馉,餶,U+9989,U+9936,unihan
U-998A,馊,餿,U+998A,U+993F,unihan
U-998B,馋,饞,U+998B,U+995E,unihan
U-998C,馌,饁,U+998C,U+9941,unihan
U-998D,馍,饃,U+998D,U+9943,unihan
U-998E,馎,餺,U+998E,U+993A,unihan
U-998F,馏,餾,U+998F,U+993E,unihan
U-9990,馐,饈,U+9990,U+9948,unihan
U-9991,馑,饉,U+9991,U+9949,unihan
U-9992,馒,饅,U+9992,U+9945,unihan
U-9993,馓,饊,U+9993,U+994A,unihan
U-9994,馔,饌,U+9994,U+994C,unihan
U-9995,馕,饢,U+9995,U+9962,unihan
U-9A6C,马,馬,U+9A6C,U+99AC,unihan
U-9A6D,驭,馭,U+9A6D,U+99AD,unihan
U-9A6E,驮,馱,U+9A6E,U+99B1,unihan
U-9A6F,驯,馴,U+9A6F,U+99B4,unihan
U-9A70,驰,馳,U+9A70,U+99B3,unihan
U-9A71,驱,驅,U+9A71,U+9A45,unihan
U-9A72,驲,馹,U+9A72,U+99B9,unihan
U-9A73,驳,駁,U+9A73,U+99C1,unihan
U-9A74,驴,驢,U+9A74,U+9A62,unihan
U-9A75,驵,駔,U+9A75,U+99D4,unihan
U-9A76,驶,駛,U+9A76,U+99DB,unihan
U-9A77,驷,駟,U+9A77,U+99DF,unihan
U-9A78,驸,駙,U+9A78,U+99D9,unihan
U-9A79,驹,駒,U+9A79,U+99D2,unihan
U-9A7A,驺,騶,U+9A7A,U+9A36,unihan
U-9A7B,驻,駐,U+9A7B,U+99D0,unihan
U-9A7C,驼,駝,U+9A7C,U+99DD,unihan
U-9A7D,驽,駑,U+9A7D,U+99D1,unihan
U-9A7E,驾,駕,U+9A7E,U+99D5,unihan
U-9A7F,驿,驛,U+9A7F,U+9A5B,unihan
U-9A80,骀,駘,U+9A80,U+99D8,unihan
U-9A81,骁,驍,U+9A81,U+9A4D,unihan
U-9A83,骃,駰,U+9A83,U+99F0,unihan
U-9A84,骄,驕,U+9A84,U+9A55,unihan
U-9A85,骅,驊,U+9A85,U+9A4A,unihan
U-9A86,骆,駱,U+9A86,U+99F1,unihan
U-9A87,骇,駭,U+9A87,U+99ED,unihan
U-9A88,骈,駢,U+9A88,U+99E2,unihan
U-9A89,骉,驫,U+9A89,U+9A6B,unihan
U-9A8A,骊,驪,U+9A8A,U+9A6A,unihan
U-9A8B,骋,騁,U+9A8B,U+9A01,unihan
U-9A8C,验,驗,U+9A8C,U+9A57,unihan
U-9A8D,骍,騂,U+9A8D,U+9A02,unihan
U-9A8E,骎,駸,U+9A8E,U+99F8,unihan
U-9A8F,骏,駿,U+9A8F,U+99FF,unihan
U-9A90,骐,騏,U+9A90,U+9A0F,unihan
U-9A91,骑,騎,U+9A91,U+9A0E,unihan
U-9A92,骒,騍,U+9A92,U+9A0D,unihan
U-9A93,骓,騅,U+9A93,U+9A05,unihan
U-9A94,骔,騌,U+9A94,U+9A0C,unihan
U-9A95,骕,驌,U+9A95,U+9A4C,unihan
U-9A96,骖,驂,U+9A96,U+9A42,unihan
U-9A97,骗,騙,U+9A97,U+9A19,unihan
U-9A98,骘,騭,U+9A98,U+9A2D,unihan
U-9A99,骙,騤,U+9A99,U+9A24,unihan
U-9A9A,骚,騷,U+9A9A,U+9A37,unihan
U-9A9B,骛,騖,U+9A9B,U+9A16,unihan
U-9A9C,骜,驁,U+9A9C,U+9A41,unihan
U-9A9D,骝,騮,U+9A9D,U+9A2E,unihan
U-9A9E,骞,騫,U+9A9E,U+9A2B,unihan
U-9A9F,骟,騸,U+9A9F,U+9A38,unihan
U-9AA0,骠,驃,U+9AA0,U+9A43,unihan
U-9AA1,骡,騾,U+9AA1,U+9A3E,unihan
U-9AA2,骢,驄,U+9AA2,U+9A44,unihan
U-9AA3,骣,驏,U+9AA3,U+9A4F,unihan
U-9AA4,骤,驟,U+9AA4,U+9A5F,unihan
U-9AA5,骥,驥,U+9AA5,U+9A65,unihan
U-9AA6,骦,驦,U+9AA6,U+9A66,unihan
U-9AA7,骧,驤,U+9AA7,U+9A64,unihan
U-9AC5,髅,髏,U+9AC5,U+9ACF,unihan
U-9ACB,髋,髖,U+9ACB,U+9AD6,unihan
U-9ACC,髌,髕,U+9ACC,U+9AD5,unihan
U-9B13,鬓,鬢,U+9B13,U+9B22,unihan
U-9B36,鬶,鬹,U+9B36,U+9B39,unihan
U-9B47,魇,魘,U+9B47,U+9B58,unihan
U-9B49,魉,魎,U+9B49,U+9B4E,unihan
U-9C7C,鱼,魚,U+9C7C,U+9B5A,unihan
U-9C7D,鱽,魛,U+9C7D,U+9B5B,unihan
U-9C7E,鱾,魢,U+9C7E,U+9B62,unihan
U-9C7F,鱿,魷,U+9C7F,U+9B77,unihan
U-9C80,鲀,魨,U+9C80,U+9B68,unihan
U-9C81,鲁,魯,U+9C81,U+9B6F,unihan
U-9C82,鲂,魴,U+9C82,U+9B74,unihan
U-9C83,鲃,䰾,U+9C83,U+4C3E,unihan
U-9C84,鲄,魺,U+9C84,U+9B7A,unihan
U-9C85,鲅,鮁,U+9C85,U+9B81,unihan
U-9C86,鲆,鮃,U+9C86,U+9B83,unihan
U-9C87,鲇,鮎,U+9C87,U+9B8E,unihan
U-9C88,鲈,鱸,U+9C88,U+9C78,unihan
U-9C89,鲉,鮋,U+9C89,U+9B8B,unihan
U-9C8A,鲊,鮓,U+9C8A,U+9B93,unihan
U-9C8B,鲋,鮒,U+9C8B,U+9B92,unihan
U-9C8C,鲌,鮊,U+9C8C,U+9B8A,unihan
U-9C8D,鲍,鮑,U+9C8D,U+9B91,unihan
U-9C8E,鲎,鱟,U+9C8E,U+9C5F,unihan
U-9C8F,鲏,鮍,U+9C8F,U+9B8D,unihan
U-9C90,鲐,鮐,U+9C90,U+9B90,unihan
U-9C91,鲑,鮭,U+9C91,U+9BAD,unihan
U-9C92,鲒,鮚,U+9C92,U+9B9A,unihan
U-9C93,鲓,鮳,U+9C93,U+9BB3,unihan
U-9C94,鲔,鮪,U+9C94,U+9BAA,unihan
U-9C95,鲕,鮞,U+9C95,U+9B9E,unihan
U-9C96,鲖,鮦,U+9C96,U+9BA6,unihan
U-9C97,鲗,鰂,U+9C97,U+9C02,unihan
U-9C98,鲘,鮜,U+9C98,U+9B9C,unihan
U-9C99,鲙,鱠,U+9C99,U+9C60,unihan
U-9C9A,鲚,鱭,U+9C9A,U+9C6D,unihan
U-9C9B,鲛,鮫,U+9C9B,U+9BAB,unihan
U-9C9C,鲜,鮮,U+9C9C,U+9BAE,unihan
U-9C9D,鲝,鮺,U+9C9D,U+9BBA,unihan
U-9C9F,鲟,鱘,U+9C9F,U+9C58,unihan
U-9CA0,鲠,鯁,U+9CA0,U+9BC1,unihan
U-9CA1,鲡,鱺,U+9CA1,U+9C7A,unihan
U-9CA2,鲢,鰱,U+9CA2,U+9C31,unihan
U-9CA3,鲣,鰹,U+9CA3,U+9C39,unihan
