ID,Glyph
KR2217,𡹬
KR2225,𤡊
KR2248,𡿗
KR2254,𩫹
KR2265,𤭛
KR2277,䷠
KR2307,䷗
KR2308,䷊
KR2316,𡴴
KR2336,䷒
KR2372,䷖
KR2373,☰
KR2398,𨘷
KR2402,䷪
KR2403,䷡
KR2424,𩻟
KR2441,䷓
KR2442,䷁
KR2479,䷫
KR2480,䷃
KR2481,䷂
KR2494,𡷛
KR2514,☷
KR2561,䷟
KR2562,䷅
KR2563,䷄
KR2626,𥢾
KR2656,䷾
KR2657,䷶
KR2658,䷚
KR2659,䷌
KR2660,䷆
KR2661,☶
KR2662,☵
KR2675,𡼢
KR2701,䷳
KR2702,䷨
KR2703,䷣
KR2704,䷜
KR2705,䷛
KR2706,䷈
KR2713,𣷡
KR2743,䷸
KR2744,䷰
KR2745,䷐
KR2746,䷎
KR2747,䷍
KR2748,䷇
KR2749,☳
KR2762,𡶵
KR2791,𢈶
KR2807,䷼
KR2808,䷴
KR2809,䷬
KR2810,䷦
KR2811,䷥
KR2812,䷢
KR2813,䷞
KR2814,䷘
KR2815,䷑
KR2816,☲
KR2819,𡺀
KR2865,䷿
KR2866,䷻
KR2867,䷤
KR2868,䷝
KR2886,𡺭
KR2926,䷺
KR2927,䷷
KR2928,䷵
KR2929,䷯
KR2930,䷩
KR2931,䷕
KR2968,𥞴
KR2982,䷲
KR2983,䷱
KR2984,䷮
KR2985,䷏
KR2986,䷉
KR2987,☴
KR2998,𧒬
KR3047,䷽
KR3048,䷭
KR3049,䷧
KR3050,䷙
KR3051,䷔
KR3052,☱
KR3091,䷹
KR3160,𡽳
KR3179,𣈭
KR3286,𡏮
KR3518,𦶝
KR3527,𣻕
KR3879,𥒸
KR4014,𡙋
KR4716,塜
