ID,URN,Passage_SHA256,Cantiga_ID,Line,Stanza,Number_Gap,Primary_Text
l-1566-4,urn:nabu:cantigas:1566:4,abf18dc85bf39e8f85534b0071f6edc1a1f7314c592eec9ac1468cb7ac12c9c1,c-1566,4,1,,contra que[m] nom cata bem nem fremoso:
l-1566-5,urn:nabu:cantigas:1566:5,f31eaab7fc2f9ac44127a07a087060e3866b46f4c9b66a5f1959cd91b750daee,c-1566,5,1,,"ca lhas vej'eu trager, bem des antano"
l-1566-6,urn:nabu:cantigas:1566:6,986a5796a53aff0ec3545f6707667f20c2524d4b595a3443b324f86073b429fb,c-1566,6,1,,"ambas vestidas de mui mao pano,"
l-1566-7,urn:nabu:cantigas:1566:7,a58f255a56f9e67dca62fb2a36776810ffa4ed07e7d7d1d984c720c5898dab53,c-1566,7,1,,nunca mais feo vi nem mais lixoso.
l-1566-8,urn:nabu:cantigas:1566:8,32c044e93ff2797f53d87df4d4ddc5ce8e4e312f70d4a914842315a7a5245643,c-1566,8,2,,"Andam ant'el chorando mil vegadas,"
l-1566-9,urn:nabu:cantigas:1566:9,7be7d5084be3d976446ce44356a7049aa40d2860eead0ac17f36d30896932add,c-1566,9,2,,por muito mal que ham com el levado;
l-1566-10,urn:nabu:cantigas:1566:10,176f5d9e4524ed1d40814f771ab00c89da781a913644064de4889be660972a4b,c-1566,10,2,,"[e] el, come home desmesurado"
l-1566-11,urn:nabu:cantigas:1566:11,0811cb9dcc2d3e2fea516fc6f176c539b37d53d85db684922c1da535bdc05ca9,c-1566,11,2,,"contra elas, que andam mui coitadas,"
l-1566-12,urn:nabu:cantigas:1566:12,4e8d50e1f0e4ed2b64db49c0c6be5d300686b81d41ed255ec644a388ad2c942d,c-1566,12,2,,nom cata rem do que catar devia;
l-1566-13,urn:nabu:cantigas:1566:13,900bf1d5bc1a75b52386ad80814d121394dfb93d0a0f5e3a0267615339482a3d,c-1566,13,2,,"e poilas [el] tem sigo noit'e dia,"
l-1566-14,urn:nabu:cantigas:1566:14,81e5352ebc98c0d466b8f756beff8fad663b5f9f245a37ce6576fb979fcb8294,c-1566,14,2,,seu mal é tragê-las mal lazeradas.
l-1566-15,urn:nabu:cantigas:1566:15,58fbb593f9c839c35927a2195ec8e58290a30a82374ebb06adac4863a49a36b3,c-1566,15,3,,E pois el sa fazenda tam mal cata
l-1566-16,urn:nabu:cantigas:1566:16,7078c245a0567a30b550ef23046f03a872d366b34778d6b2b6f0335930926b73,c-1566,16,3,,"contra elas, que faz viver tal vida,"
