id	title	title_source	fclasses	start	end	lon	lat	matches
cigs:KKL	Karakala	cigs	S	-800	-700	43.8488	40.0487	https://pleiades.stoa.org/places/268144622;https://www.geonames.org/616584
cigs:KNS	Kanesh	cigs	S	-1950	-331	35.6365	38.8517	https://pleiades.stoa.org/places/628923
cigs:KRH	Karahan	cigs	S	-900	-700	43.6607	38.9493	https://pleiades.stoa.org/places/625114447;https://www.geonames.org/6969130
cigs:KRK	Karkemish	cigs	S	-1400	-612	38.0156	36.8294	https://pleiades.stoa.org/places/658465
cigs:KSH	Kiš	cigs	S	-2340	-1600	44.5949	32.5455	https://pleiades.stoa.org/places/894028;https://www.geonames.org/94277
cigs:KSR	Kisurra	cigs	S	-2100	-1100	45.481	31.8383	https://pleiades.stoa.org/places/797093165;https://www.geonames.org/6731778
cigs:KTN	Kar-Tukulti-Ninurta	cigs	S	-1400	-1000	43.2793	35.4944	https://pleiades.stoa.org/places/430344980;https://www.geonames.org/6837593
cigs:LAG	Lagaš	cigs	S	-2500	-1600	46.4108	31.4182	https://pleiades.stoa.org/places/959120263;https://www.geonames.org/7025350
cigs:LAR	Larsa	cigs	S	-3200	-63	45.8549	31.2832	https://pleiades.stoa.org/places/912897;https://www.geonames.org/91560
cigs:MAR	Mari	cigs	S	-3500	-1600	40.8887	34.5504	https://pleiades.stoa.org/places/286681704;https://www.geonames.org/9204031
cigs:MLD	Melid	cigs	S	-911	-612	38.3612	38.382	https://pleiades.stoa.org/places/25078867
cigs:MRD	Marad	cigs	S	-2600	-63	44.7851	32.0917	https://pleiades.stoa.org/places/912901;https://www.geonames.org/6788812
cigs:MSK	Maškan-šapir	cigs	S	-2000	-1600	45.2207	32.4055	https://pleiades.stoa.org/places/715980704
cigs:NER	Nereb	cigs	S	-626	-539	37.2265	36.1777	https://pleiades.stoa.org/places/633912597
cigs:NIP	Nippur	cigs	S	-2900	641	45.23	32.1271	https://pleiades.stoa.org/places/912910;https://www.geonames.org/92882
cigs:NJF	Najafābād	cigs	S	-911	-612	47.9761	34.6527	https://www.geonames.org/122847
cigs:NNV	Nineveh	cigs	S	-3500	-63	43.1621	36.3582	https://pleiades.stoa.org/places/874621;https://www.geonames.org/92878
cigs:NRB	Nerebtum	cigs	S	-2000	-1600	44.5828	33.3029	https://www.geonames.org/91213
cigs:NUZ	Gasur	cigs	S	-2340	-539	44.2546	35.3717	https://pleiades.stoa.org/places/894054;https://www.geonames.org/89610
cigs:ORT	Sapinuwa	cigs	S	-1400	-1100	35.2375	40.2541	https://pleiades.stoa.org/places/964671598
cigs:PAS	Pašime	cigs	S	-2100	-2000	47.1479	32.3944	https://pleiades.stoa.org/places/108542249
cigs:PRS	Pārśa	cigs	S	-2200	-331	52.8925	29.9343	https://pleiades.stoa.org/places/922695;https://www.geonames.org/110836
cigs:PSG	Pasargad	cigs	S	-547	-331	53.1768	30.2008	https://pleiades.stoa.org/places/922693;https://www.geonames.org/121340
cigs:QAN	Qaṣr-i Abūnaṣr	cigs	S	-547	-331	52.6252	29.5848	https://www.geonames.org/119600
cigs:QAT	Qatara	cigs	S	-1900	-612	42.45	36.2569	https://pleiades.stoa.org/places/356369838;https://www.geonames.org/6786680
cigs:QSH	Kilizu	cigs	S	-1400	-612	43.7514	36.1039	https://pleiades.stoa.org/places/894027
cigs:RUS	Rusahinili	cigs	S			43.4064	38.5102	https://pleiades.stoa.org/places/874771
cigs:SAM	Shamīt	cigs	S	-2100	-2000	45.8326	31.7477	""
cigs:SAP	Sippar	cigs	S	-2500	-63	44.2552	33.0605	https://pleiades.stoa.org/places/894089;https://www.geonames.org/6927414
cigs:SAR	Dur-Šarrukin	cigs	S	-1950	-612	43.2347	36.5035	https://pleiades.stoa.org/places/874458
cigs:SDM	Surkh Dum Lurī	cigs	S	-1400	-1100	47.7079	33.5064	""
cigs:SDP	Šaduppûm	cigs	S	-1900	-1600	44.4666	33.3098	https://pleiades.stoa.org/places/821129014;https://www.geonames.org/96040
cigs:SEL	Silūqīah	cigs	S	-911	-539	44.5213	33.0962	https://pleiades.stoa.org/places/894178;https://www.geonames.org/89799
cigs:SFR	Kutalla	cigs	S	-2000	-612	45.9672	31.2946	""
cigs:SIP	Sippar-Amnanum	cigs	S	-2500	-539	44.2991	33.0991	https://pleiades.stoa.org/places/392373882;https://www.geonames.org/6927582
cigs:SKH	Tarbisu	cigs	S	-2200	-612	43.0774	36.4089	https://pleiades.stoa.org/places/30774368
cigs:SMA	Al-Sāmirah	cigs	S	-911	-612	35.1897	32.2763	https://pleiades.stoa.org/places/678370;https://www.geonames.org/282107
cigs:SQL	Isqalluna	cigs	S	-1400	-1100	34.5471	31.6629	https://pleiades.stoa.org/places/687839;https://www.geonames.org/293400
cigs:SUR	Šuruppak	cigs	S	-2600	-2500	45.5113	31.7772	https://pleiades.stoa.org/places/326150788;https://www.geonames.org/96781
cigs:SUS	Susa	cigs	S	-8500	-331	48.2569	32.1895	https://pleiades.stoa.org/places/912936;https://www.geonames.org/6687956
cigs:SZE	Šubat-Enlil	cigs	S	-2000	-1600	41.5069	36.9579	https://pleiades.stoa.org/places/223856813;https://www.geonames.org/8449936
cigs:SZU	Šušarra	cigs	S	-1900	-1600	44.9384	36.2016	""
cigs:TAY	Tall Ṭa‘iynāt	cigs	S	-911	-612	36.3759	36.2482	https://pleiades.stoa.org/places/913163220;https://www.geonames.org/438034
cigs:TBP	Tall Aḥmar	cigs	S	-911	-612	38.1209	36.6743	https://pleiades.stoa.org/places/658410;https://www.geonames.org/163733
cigs:TNP	Tunip	cigs	S	-1400	-612	36.3959	35.2877	https://www.geonames.org/174035
cigs:TRQ	Terqa	cigs	S	-2000	-612	40.5677	34.9229	https://pleiades.stoa.org/places/894158
cigs:TTB	Tutub	cigs	S	-3500	-1600	44.5559	33.3554	https://pleiades.stoa.org/places/490043590
cigs:TUT	Tuttul	cigs	S	-2500	-1600	39.0471	35.958	https://pleiades.stoa.org/places/582993625;https://www.geonames.org/171471
cigs:TYA	Malgium	cigs	S	-1900	-1600	45.0983	32.5612	""
cigs:TYM	Taymā	cigs	S	-626	-539	38.5499	27.6219	https://pleiades.stoa.org/places/814739;https://www.geonames.org/101516
cigs:UGA	Ugarit	cigs	S	-1400	-1000	35.7853	35.6021	https://pleiades.stoa.org/places/668295;https://www.geonames.org/165369
cigs:UPI	Upi	cigs	S	-626	-539	44.7014	33.1844	https://pleiades.stoa.org/places/894056
cigs:URI	Ur	cigs	S	-3200	-331	46.1063	30.9607	https://pleiades.stoa.org/places/912985;https://www.geonames.org/93199
cigs:URK	Urkiš	cigs	S	-2340	-2000	40.9975	37.0572	https://pleiades.stoa.org/places/404687441;https://www.geonames.org/166513
cigs:URU	Uruk	cigs	S	-8500	-63	45.6395	31.3234	https://pleiades.stoa.org/places/912986;https://www.geonames.org/89703
cigs:ZAB	Zabalam	cigs	S	-2340	-1600	45.8749	31.7436	https://pleiades.stoa.org/places/921099766;https://www.geonames.org/6755876
cigs:ZCR	Samal	cigs	S	-911	-612	36.6783	37.1035	https://pleiades.stoa.org/places/192555966
cigs:ZTP	Tushhan	cigs	S	-911	-612	40.7929	37.7936	https://www.geonames.org/439817
geonames:10103963	Deiniolen	attested	S	249	251			""
geonames:10348427	Schaan	attested	S	1	100			""
geonames:10972121	Arabissus	attested	S					""
geonames:11048349	Misery-Courtion	attested	S	1	150			""
geonames:11048359	Meikirch	attested	S	171	200			""
geonames:11186019	Küssaberg	attested	S	31	100			""
geonames:11535151	Orny	attested	S	119	138			""
geonames:11542765	Corminboeuf?	attested	S	1	400			""
geonames:11592216	Twechar	attested	S	142	161			""
geonames:11592601	Yarwell	attested	S	101	200			""
geonames:11592744	South Wonston	attested	S	238	244			""
geonames:11592774	All Cannings	attested	S	51	300			""
geonames:11593191	Flexford	attested	S	251	400			""
geonames:11608708	Neustadt/Wied	attested	S	207				""
geonames:11611411	Waldshut-Tiengen	attested	S	401	450			""
geonames:11611705	Surses	attested	S	-20	-10			""
geonames:11611717	Mont-Vully	attested	S	51	100			""
geonames:11887255	Lansdown	attested	S	101	400			""
geonames:11951865	Sabucina	attested	S	-520	-451			""
geonames:12047694	Great Walsingham, bei	attested	S	101	400			""
geonames:163808	Avatha	attested	S					""
geonames:168373	Khirbat Khān al Abyaḑ	attested	S					""
geonames:171127	Busr el Hariri	attested	S					""
geonames:173999	Kapropera	attested	S					""
geonames:190257	Supetar	attested	S	151	316			""
geonames:2211464	Sīdī aş Şayd	attested	S	239	268			""
geonames:2214258	Qabīlat al Qalīl	attested	S					""
geonames:2216463	Jaddā'im	attested	S					""
geonames:2217440	Ghadāmis	attested	S	209	211			""
geonames:2218840	Banī Walīd	attested	S					""
geonames:2219746	Al Qaşabāt	attested	S	201	300			""
geonames:2219819	Al Masūfīyīn	attested	S					""
geonames:2220431	Abū Nujaym	attested	S	201	300			""
geonames:2261578	Vila Verde de Ficalho	attested	S					""
geonames:2261616	Vila Nova de Ourém	attested	S	101	150			""
geonames:2261657	Vila Boim	attested	S	51	100			""
geonames:2261694	Ebora - Pax Iulia, inter	attested	S	317	326			""
geonames:2262074	Vale de Vargo	attested	S					""
geonames:2262474	Ulme	attested	S					""
geonames:2262582	Torres Novas	attested	S					""
geonames:2262644	Seilium	attested	S	-30	100			""
geonames:2262698	Terena	attested	S					""
