ID,Form,Reason,Detail
refused-u5d5c,嵜,one-to-many-ambiguity,variant-linked to 2 distinct jōyō forms (埼 崎); never picked arbitrarily
refused-u7895,碕,one-to-many-ambiguity,variant-linked to 2 distinct jōyō forms (埼 崎); never picked arbitrarily
