ID,Char,Language_ID,Count,Source
perseus-greek-grc-U201E,„,grc,6,perseus-greek
perseus-greek-eng-U2020,†,eng,7,perseus-greek
perseus-greek-grc-U2020,†,grc,294,perseus-greek
perseus-greek-grc-U2026,…,grc,4,perseus-greek
perseus-greek-grc-U2032,′,grc,136,perseus-greek
perseus-greek-grc-U2039,‹,grc,36,perseus-greek
perseus-greek-grc-U203A,›,grc,36,perseus-greek
perseus-greek-eng-U205C,⁜,eng,1,perseus-greek
perseus-greek-eng-U20AC,€,eng,1,perseus-greek
perseus-greek-eng-U2122,™,eng,2,perseus-greek
perseus-greek-eng-U2736,✶,eng,1,perseus-greek
perseus-greek-grc-U27E6,⟦,grc,15,perseus-greek
perseus-greek-grc-U27E7,⟧,grc,15,perseus-greek
perseus-greek-eng-U2E16,⸖,eng,1,perseus-greek
perseus-greek-eng-U3008,〈,eng,42,perseus-greek
perseus-greek-grc-U3008,〈,grc,325,perseus-greek
perseus-greek-eng-U3009,〉,eng,42,perseus-greek
perseus-greek-grc-U3009,〉,grc,324,perseus-greek
perseus-greek-eng-UF8F0,,eng,1,perseus-greek
perseus-greek-grc-UFEFF,﻿,grc,88,perseus-greek
perseus-greek-eng-UFF08,（,eng,4,perseus-greek
perseus-greek-grc-UFF08,（,grc,14,perseus-greek
perseus-greek-eng-UFF09,）,eng,4,perseus-greek
perseus-greek-grc-UFF09,）,grc,12,perseus-greek
perseus-latin-eng-U00A3,£,eng,3,perseus-latin
perseus-latin-lat-U00A3,£,lat,3,perseus-latin
perseus-latin-eng-U00A6,¦,eng,8,perseus-latin
perseus-latin-lat-U00A6,¦,lat,1,perseus-latin
perseus-latin-eng-U00A7,§,eng,1,perseus-latin
perseus-latin-lat-U00A7,§,lat,8,perseus-latin
perseus-latin-lat-U00A9,©,lat,1,perseus-latin
perseus-latin-lat-U00AB,«,lat,7,perseus-latin
perseus-latin-lat-U00AF,¯,lat,6,perseus-latin
perseus-latin-lat-U00B0,°,lat,2,perseus-latin
perseus-latin-eng-U00B7,·,eng,14,perseus-latin
perseus-latin-lat-U00B7,·,lat,59,perseus-latin
perseus-latin-eng-U00BB,»,eng,1,perseus-latin
perseus-latin-lat-U00BB,»,lat,11,perseus-latin
perseus-latin-eng-U00E6,æ,eng,1021,perseus-latin
perseus-latin-lat-U00E6,æ,lat,8,perseus-latin
perseus-latin-lat-U00F7,÷,lat,6,perseus-latin
perseus-latin-eng-U0153,œ,eng,163,perseus-latin
perseus-latin-lat-U0153,œ,lat,2,perseus-latin
perseus-latin-lat-U02B9,ʹ,lat,1,perseus-latin
perseus-latin-lat-U02BC,ʼ,lat,80,perseus-latin
perseus-latin-lat-U02BD,ʽ,lat,2,perseus-latin
perseus-latin-lat-U02DC,˜,lat,1,perseus-latin
perseus-latin-eng-U03B1,α,eng,240,perseus-latin
perseus-latin-lat-U03B1,α,lat,1640,perseus-latin
perseus-latin-eng-U03B2,β,eng,34,perseus-latin
perseus-latin-lat-U03B2,β,lat,228,perseus-latin
perseus-latin-eng-U03B3,γ,eng,71,perseus-latin
perseus-latin-lat-U03B3,γ,lat,577,perseus-latin
perseus-latin-eng-U03B4,δ,eng,72,perseus-latin
perseus-latin-lat-U03B4,δ,lat,662,perseus-latin
perseus-latin-eng-U03B5,ε,eng,193,perseus-latin
perseus-latin-lat-U03B5,ε,lat,1362,perseus-latin
perseus-latin-eng-U03B6,ζ,eng,8,perseus-latin
perseus-latin-lat-U03B6,ζ,lat,112,perseus-latin
perseus-latin-eng-U03B7,η,eng,122,perseus-latin
perseus-latin-lat-U03B7,η,lat,883,perseus-latin
perseus-latin-eng-U03B8,θ,eng,50,perseus-latin
perseus-latin-lat-U03B8,θ,lat,501,perseus-latin
perseus-latin-eng-U03B9,ι,eng,254,perseus-latin
perseus-latin-lat-U03B9,ι,lat,1604,perseus-latin
perseus-latin-eng-U03BA,κ,eng,121,perseus-latin
perseus-latin-lat-U03BA,κ,lat,916,perseus-latin
perseus-latin-eng-U03BB,λ,eng,98,perseus-latin
perseus-latin-lat-U03BB,λ,lat,860,perseus-latin
perseus-latin-eng-U03BC,μ,eng,123,perseus-latin
perseus-latin-lat-U03BC,μ,lat,912,perseus-latin
perseus-latin-eng-U03BD,ν,eng,171,perseus-latin
perseus-latin-lat-U03BD,ν,lat,1441,perseus-latin
perseus-latin-eng-U03BE,ξ,eng,30,perseus-latin
perseus-latin-lat-U03BE,ξ,lat,196,perseus-latin
perseus-latin-eng-U03BF,ο,eng,212,perseus-latin
perseus-latin-lat-U03BF,ο,lat,1523,perseus-latin
perseus-latin-eng-U03C0,π,eng,141,perseus-latin
perseus-latin-lat-U03C0,π,lat,1014,perseus-latin
perseus-latin-eng-U03C1,ρ,eng,145,perseus-latin
perseus-latin-lat-U03C1,ρ,lat,1153,perseus-latin
perseus-latin-eng-U03C2,ς,eng,131,perseus-latin
perseus-latin-lat-U03C2,ς,lat,613,perseus-latin
perseus-latin-eng-U03C3,σ,eng,144,perseus-latin
perseus-latin-lat-U03C3,σ,lat,1104,perseus-latin
perseus-latin-eng-U03C4,τ,eng,178,perseus-latin
perseus-latin-lat-U03C4,τ,lat,1192,perseus-latin
perseus-latin-eng-U03C5,υ,eng,97,perseus-latin
perseus-latin-lat-U03C5,υ,lat,979,perseus-latin
perseus-latin-eng-U03C6,φ,eng,44,perseus-latin
perseus-latin-lat-U03C6,φ,lat,447,perseus-latin
perseus-latin-eng-U03C7,χ,eng,50,perseus-latin
perseus-latin-lat-U03C7,χ,lat,376,perseus-latin
perseus-latin-eng-U03C8,ψ,eng,10,perseus-latin
perseus-latin-lat-U03C8,ψ,lat,91,perseus-latin
perseus-latin-eng-U03C9,ω,eng,60,perseus-latin
perseus-latin-lat-U03C9,ω,lat,759,perseus-latin
perseus-latin-lat-U03DD,ϝ,lat,1,perseus-latin
perseus-latin-lat-U0430,а,lat,25,perseus-latin
perseus-latin-lat-U0435,е,lat,24,perseus-latin
perseus-latin-lat-U043C,м,lat,7,perseus-latin
perseus-latin-lat-U043E,о,lat,13,perseus-latin
perseus-latin-lat-U0441,с,lat,1,perseus-latin
perseus-latin-lat-U0448,ш,lat,2,perseus-latin
perseus-latin-eng-U1FBD,᾽,eng,5,perseus-latin
perseus-latin-lat-U1FBD,᾽,lat,17,perseus-latin
perseus-latin-lat-U1FFE,῾,lat,1,perseus-latin
perseus-latin-eng-U2011,‑,eng,6,perseus-latin
perseus-latin-eng-U2013,–,eng,13,perseus-latin
perseus-latin-lat-U2013,–,lat,5,perseus-latin
perseus-latin-eng-U2014,—,eng,4164,perseus-latin
perseus-latin-lat-U2014,—,lat,6221,perseus-latin
perseus-latin-eng-U2018,‘,eng,53,perseus-latin
perseus-latin-lat-U2018,‘,lat,1433,perseus-latin
perseus-latin-eng-U2019,’,eng,7631,perseus-latin
perseus-latin-lat-U2019,’,lat,1577,perseus-latin
perseus-latin-eng-U201C,“,eng,1589,perseus-latin
perseus-latin-lat-U201C,“,lat,1729,perseus-latin
perseus-latin-eng-U201D,”,eng,1640,perseus-latin
perseus-latin-lat-U201D,”,lat,1853,perseus-latin
perseus-latin-eng-U2020,†,eng,2,perseus-latin
perseus-latin-lat-U2020,†,lat,999,perseus-latin
perseus-latin-eng-U2022,•,eng,1,perseus-latin
perseus-latin-eng-U2026,…,eng,1,perseus-latin
perseus-latin-lat-U2170,ⅰ,lat,2,perseus-latin
perseus-latin-lat-U217D,ⅽ,lat,2,perseus-latin
perseus-latin-lat-U2180,ↀ,lat,1,perseus-latin
perseus-latin-lat-U2184,ↄ,lat,43,perseus-latin
perseus-latin-lat-U221E,∞,lat,5,perseus-latin
perseus-latin-lat-U27E8,⟨,lat,6,perseus-latin
perseus-latin-lat-U27E9,⟩,lat,6,perseus-latin
perseus-latin-lat-U3008,〈,lat,4,perseus-latin
perseus-latin-lat-U3009,〉,lat,4,perseus-latin
first1k-greek-grc-U0081,,grc,2,first1k-greek
first1k-greek-grc-U0088,,grc,1,first1k-greek
first1k-greek-grc-U008C,,grc,2,first1k-greek
first1k-greek-grc-U008D,,grc,13,first1k-greek
first1k-greek-grc-U008E,,grc,3,first1k-greek
first1k-greek-grc-U008F,,grc,3,first1k-greek
first1k-greek-grc-U0090,,grc,4,first1k-greek
first1k-greek-grc-U0098,,grc,6,first1k-greek
first1k-greek-grc-U009A,,grc,10,first1k-greek
first1k-greek-grc-U009C,,grc,4,first1k-greek
first1k-greek-grc-U009D,,grc,5,first1k-greek
first1k-greek-grc-U009E,,grc,3,first1k-greek
first1k-greek-grc-U00A3,£,grc,10,first1k-greek
first1k-greek-grc-U00A6,¦,grc,15,first1k-greek
first1k-greek-eng-U00A7,§,eng,1,first1k-greek
first1k-greek-grc-U00A7,§,grc,1769,first1k-greek
first1k-greek-grc-U00A8,¨,grc,28,first1k-greek
first1k-greek-grc-U00AA,ª,grc,7,first1k-greek
first1k-greek-grc-U00AB,«,grc,7993,first1k-greek
first1k-greek-grc-U00AC,¬,grc,7,first1k-greek
first1k-greek-eng-U00AD,­,eng,1,first1k-greek
first1k-greek-grc-U00AD,­,grc,2,first1k-greek
first1k-greek-grc-U00AF,¯,grc,2,first1k-greek
first1k-greek-grc-U00B0,°,grc,10,first1k-greek
first1k-greek-grc-U00B1,±,grc,1,first1k-greek
first1k-greek-grc-U00B2,²,grc,73,first1k-greek
first1k-greek-eng-U00B3,³,eng,1,first1k-greek
first1k-greek-grc-U00B3,³,grc,48,first1k-greek
first1k-greek-grc-U00B4,´,grc,405,first1k-greek
first1k-greek-grc-U00B6,¶,grc,139,first1k-greek
first1k-greek-eng-U00B7,·,eng,3,first1k-greek
first1k-greek-grc-U00B7,·,grc,100821,first1k-greek
first1k-greek-grc-U00B8,¸,grc,1,first1k-greek
first1k-greek-grc-U00B9,¹,grc,113,first1k-greek
first1k-greek-eng-U00BB,»,eng,1,first1k-greek
first1k-greek-grc-U00BB,»,grc,7997,first1k-greek
first1k-greek-grc-U00BD,½,grc,1,first1k-greek
first1k-greek-grc-U00BF,¿,grc,1,first1k-greek
first1k-greek-grc-U00D7,×,grc,1,first1k-greek
first1k-greek-grc-U00DF,ß,grc,48,first1k-greek
first1k-greek-grc-U00E6,æ,grc,69,first1k-greek
first1k-greek-grc-U00F7,÷,grc,4,first1k-greek
first1k-greek-eng-U0127,ħ,eng,1,first1k-greek
first1k-greek-grc-U0153,œ,grc,6,first1k-greek
first1k-greek-grc-U0192,ƒ,grc,1,first1k-greek
first1k-greek-grc-U01C1,ǁ,grc,2,first1k-greek
first1k-greek-grc-U025B,ɛ,grc,1,first1k-greek
first1k-greek-grc-U02B0,ʰ,grc,8,first1k-greek
first1k-greek-grc-U02B3,ʳ,grc,6,first1k-greek
first1k-greek-grc-U02B9,ʹ,grc,881,first1k-greek
first1k-greek-grc-U02BC,ʼ,grc,25178,first1k-greek
first1k-greek-grc-U02BD,ʽ,grc,477,first1k-greek
first1k-greek-grc-U02D8,˘,grc,1,first1k-greek
first1k-greek-grc-U02DD,˝,grc,59,first1k-greek
first1k-greek-grc-U02E1,ˡ,grc,3,first1k-greek
first1k-greek-grc-U02E2,ˢ,grc,2,first1k-greek
first1k-greek-grc-U02E3,ˣ,grc,1,first1k-greek
first1k-greek-grc-U0375,͵,grc,20,first1k-greek
first1k-greek-grc-U0384,΄,grc,6206,first1k-greek
first1k-greek-eng-U03B1,α,eng,252,first1k-greek
first1k-greek-grc-U03B1,α,grc,241685,first1k-greek
first1k-greek-eng-U03B2,β,eng,8,first1k-greek
first1k-greek-grc-U03B2,β,grc,122542,first1k-greek
first1k-greek-eng-U03B3,γ,eng,18,first1k-greek
first1k-greek-grc-U03B3,γ,grc,183019,first1k-greek
first1k-greek-eng-U03B4,δ,eng,14,first1k-greek
first1k-greek-grc-U03B4,δ,grc,201929,first1k-greek
first1k-greek-eng-U03B5,ε,eng,117,first1k-greek
first1k-greek-grc-U03B5,ε,grc,238931,first1k-greek
first1k-greek-eng-U03B6,ζ,eng,16,first1k-greek
first1k-greek-grc-U03B6,ζ,grc,76069,first1k-greek
first1k-greek-eng-U03B7,η,eng,182,first1k-greek
