ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh44-45-39-1a-1,urn:nabu:derge-kangyur:toh44-45:39.1a.1,b79d0dc2d6909652598d5a5a567f5cd09432ec29a0bad7c2f7a881b3dc428d6e,I1KG9165,1,1,missing,
a-toh45-1b-1,urn:nabu:derge-kangyur:toh45:1b.1,8eeed9b82ae7038c5948f9c9a2a36a46f862494476c57dcdfcffae5e0d20d9ae,I1KG9165,2,1,exact,
a-toh45-1b-2,urn:nabu:derge-kangyur:toh45:1b.2,d2f759bda6d0616de04948b5c2962dd47efd1efe9deb056e63dfb1c14f7812c0,I1KG9165,2,2,exact,
a-toh45-1b-3,urn:nabu:derge-kangyur:toh45:1b.3,40d636f6691238b6e9467711778bfa245fa7d107f56cd7e80afe772b308aff65,I1KG9165,2,3,exact,
a-toh45-1b-4,urn:nabu:derge-kangyur:toh45:1b.4,6d450fb12b6a386387a756e6fa25f034fac40a99cc2cd5b67745a67bac2bac97,I1KG9165,2,4,exact,
a-toh45-1b-5,urn:nabu:derge-kangyur:toh45:1b.5,73c4bc71efe6d23c0a774ce0cf0c176c60bfe426c89f14243c102ef75638fcba,I1KG9165,2,5,exact,
a-toh45-2a-1,urn:nabu:derge-kangyur:toh45:2a.1,156fd8ce61994a6bb668b4b6f80c79ddf6a72457621304c1dd3274a676f350c7,I1KG9165,3,1,exact,
a-toh45-2a-2,urn:nabu:derge-kangyur:toh45:2a.2,c31b0df7a806514120f5e90f2c03fc5deaa35adce30370c9c55ec2835ffc850f,I1KG9165,3,2,exact,
a-toh45-2a-3,urn:nabu:derge-kangyur:toh45:2a.3,bc13fe6888ce3064f1806e9fb7d0391f968e2d7fac60791c238bed25bb3a3454,I1KG9165,3,3,exact,
a-toh45-2a-4,urn:nabu:derge-kangyur:toh45:2a.4,3ca261d0ab12196509f8c787a302c4aa73422b55d13abf9f5a7c4f6714a2db04,I1KG9165,3,4,exact,
a-toh45-2a-5,urn:nabu:derge-kangyur:toh45:2a.5,8931286ca0938403a7b9ee492e0d9166cd9cac5d1ee1e5c8ac95489aacff794c,I1KG9165,3,5,exact,
a-toh45-2a-6,urn:nabu:derge-kangyur:toh45:2a.6,e61d52c3cf28e2765aea1ea882e3119e2fca15729920480fcd7b05a88592a24a,I1KG9165,3,6,exact,
a-toh45-2b-1,urn:nabu:derge-kangyur:toh45:2b.1,492dd3118ab54ebcafa5169c94dc406de3a8d1a5dde4f351d9436ede53b3a822,I1KG9165,4,1,exact,
a-toh45-2b-2,urn:nabu:derge-kangyur:toh45:2b.2,971927f475e17f7e9f6c75dc46a5493320270ec73f24005da39db7016be7a256,I1KG9165,4,2,exact,
