ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh93-45-1a-1,urn:nabu:derge-kangyur:toh93:45.1a.1,34750bfdac65f9746c846e16c9bfd9a72166c932adab9bdff9b8b81b9b021fce,I1KG9171,1,1,missing,
a-toh94-45-1b-1,urn:nabu:derge-kangyur:toh94:45.1b.1,b4ad72d1031a2df11699205aed9d69b2b1ef23e79db588e77da140ff17f7dc25,I1KG9171,2,1,exact,
a-toh94-45-1b-2,urn:nabu:derge-kangyur:toh94:45.1b.2,ffe24e7dbc178950bf201c35f6e961fc2d5fa773a526b8a59b133fd5d23e8ab9,I1KG9171,2,2,exact,
a-toh94-45-1b-3,urn:nabu:derge-kangyur:toh94:45.1b.3,8500c115868bb985d39b95886a3fc18a5dcb3ea89475c9182b5ba6b74f3f97e1,I1KG9171,2,3,exact,
a-toh94-45-1b-4,urn:nabu:derge-kangyur:toh94:45.1b.4,4b087911fc95ab8f6d97327c9af73d927796d4c4bf4fc3293a06eb126b5c1063,I1KG9171,2,4,exact,
a-toh94-45-1b-5,urn:nabu:derge-kangyur:toh94:45.1b.5,a67d88fafe9a756d86e6e33dbd013ccad036a4f2b20128afa8172cafca1e970d,I1KG9171,2,5,exact,
a-toh94-45-2a-1,urn:nabu:derge-kangyur:toh94:45.2a.1,dc3ce8bee30c55ccbf280f42187cee87a66974558d21c56ee7af95144545b4be,I1KG9171,3,1,exact,
a-toh94-45-2a-2,urn:nabu:derge-kangyur:toh94:45.2a.2,d701ae8b5b9c825580987756816591af1e9f1a7a2d4eb77b645950cbcd540e19,I1KG9171,3,2,exact,
a-toh94-45-2a-3,urn:nabu:derge-kangyur:toh94:45.2a.3,d3588e0d882c96abe424b2691fdb8dca963906e5ccfbbdd6d089ea3b9b903ed0,I1KG9171,3,3,exact,
a-toh94-45-2a-4,urn:nabu:derge-kangyur:toh94:45.2a.4,93cf2073647c48227ba9e6a421207087a5fefd9ca452d4c1e610505df6424ec8,I1KG9171,3,4,exact,
a-toh94-45-2a-5,urn:nabu:derge-kangyur:toh94:45.2a.5,91b92724e39401f38479bb3d85777de40e8c50301e917ef9d1a459260dbf42cf,I1KG9171,3,5,exact,
a-toh94-45-2a-6,urn:nabu:derge-kangyur:toh94:45.2a.6,491fb9851bfbee866a99d3c9d195bd84ce543dc8673e2264dfdb9e65ac0156f6,I1KG9171,3,6,exact,
a-toh94-45-2b-1,urn:nabu:derge-kangyur:toh94:45.2b.1,97c19cbeb2ee6968ce1594b87b45f87f6facaef40f8e769946fd174ecc7302b4,I1KG9171,4,1,exact,
a-toh94-45-2b-2,urn:nabu:derge-kangyur:toh94:45.2b.2,3a2b5eb2d2b04b2edd193e4fe661b2534c89ad7a48982bf43b3b3b6e48f56465,I1KG9171,4,2,exact,
a-toh94-45-2b-3,urn:nabu:derge-kangyur:toh94:45.2b.3,33e8bfe3e88e24de65931b5457951ccade1921d004ce6adb554f4275cf5a4973,I1KG9171,4,3,exact,
a-toh94-45-2b-4,urn:nabu:derge-kangyur:toh94:45.2b.4,2c3359a5d216093d7e551a7c816a0bca467258b450613fd1da7d378da1382b89,I1KG9171,4,4,exact,
a-toh94-45-2b-5,urn:nabu:derge-kangyur:toh94:45.2b.5,ca8e28aaee7b8427103775c1a51a89b90361e0a7cd8406f336401d42b3e0cf8c,I1KG9171,4,5,exact,
a-toh94-45-2b-6,urn:nabu:derge-kangyur:toh94:45.2b.6,7d0bbf2eb98a57b461339bb2c5793461136437e2a4770a936c8976775786d97e,I1KG9171,4,6,exact,
a-toh94-45-2b-7,urn:nabu:derge-kangyur:toh94:45.2b.7,52a1a66bd0bab9c8f8252846beb553c3f1a2a0f1fdda22f3e9aba6bf4317b794,I1KG9171,4,7,exact,
a-toh94-45-3a-1,urn:nabu:derge-kangyur:toh94:45.3a.1,efb9782571077dbcfab081872c16ebdb7e462a918eeef424d4fe3451d4c3308a,I1KG9171,5,1,exact,
a-toh94-45-3a-2,urn:nabu:derge-kangyur:toh94:45.3a.2,71b42db8bec5b010dc06655c973998afc214fafd5fc46aafd3e87307de52893a,I1KG9171,5,2,exact,
a-toh94-45-3a-3,urn:nabu:derge-kangyur:toh94:45.3a.3,13b15b4991d201de98aba5542060a967974cf869973d58475dcb90b3ddeb392c,I1KG9171,5,3,exact,
a-toh94-45-3a-4,urn:nabu:derge-kangyur:toh94:45.3a.4,1d19448e2ac3f5fcc31572a9cba68f96968ff1ba71f1385974c930a98503ec0d,I1KG9171,5,4,exact,
a-toh94-45-3a-5,urn:nabu:derge-kangyur:toh94:45.3a.5,bae41582a5d274433bf38ba75512aa02bdd92c4120a8f5271b55f5532649bbb8,I1KG9171,5,5,exact,
a-toh94-45-3a-6,urn:nabu:derge-kangyur:toh94:45.3a.6,f7559a45f81a3499eaed82cd1cccf15b4c685f19918f311b5ede75fa7ad5b1b7,I1KG9171,5,6,exact,
a-toh94-45-3a-7,urn:nabu:derge-kangyur:toh94:45.3a.7,0ad7b8d0b66381e8960342b315f8d174d62fc5111813dcde9bf10023153110da,I1KG9171,5,7,exact,
a-toh94-45-3b-1,urn:nabu:derge-kangyur:toh94:45.3b.1,44d173492e8cec30bb10615ce0ed77d27966c97ae4124eee8b4d886f91c55a82,I1KG9171,6,1,exact,
a-toh94-45-3b-2,urn:nabu:derge-kangyur:toh94:45.3b.2,dab271ea5ba19d75dc2a8bb36a3906f8c24b46122fdf855af14af7f086fbb783,I1KG9171,6,2,exact,
a-toh94-45-3b-3,urn:nabu:derge-kangyur:toh94:45.3b.3,32a30d2e6829ad3d71a65a6cb302a6128e6b7b1559b61f69b4c45aa6417e35d2,I1KG9171,6,3,exact,
a-toh94-45-3b-4,urn:nabu:derge-kangyur:toh94:45.3b.4,0cad064dd98bc32bf1cc815f250c41a19cccbbd4b3502c4ca55c27b5ccd3863a,I1KG9171,6,4,exact,
a-toh94-45-3b-5,urn:nabu:derge-kangyur:toh94:45.3b.5,161579e3fb031546a434856ec997a90e009a773b02877e02b751d7d4992f043c,I1KG9171,6,5,exact,
a-toh94-45-3b-6,urn:nabu:derge-kangyur:toh94:45.3b.6,6f3239173f232fbf603d7c61dc404969ff2e8b023db9988b4aff98683ada2528,I1KG9171,6,6,exact,
a-toh94-45-3b-7,urn:nabu:derge-kangyur:toh94:45.3b.7,2cb537d39ccd99e6ecd084b36c3682d2ce17e15a913ed60440c5964ffd5fa819,I1KG9171,6,7,exact,
a-toh94-45-4a-1,urn:nabu:derge-kangyur:toh94:45.4a.1,f9d068487c0ab4255270a0c09e569c24f10629161aa9dfca4dcbb63a771bbb1d,I1KG9171,7,1,exact,
a-toh94-45-4a-2,urn:nabu:derge-kangyur:toh94:45.4a.2,d5382d8e7a4d3382af7f8384cd71dfaf971bb4c26a418c51ee5416e204eebd35,I1KG9171,7,2,exact,
a-toh94-45-4a-3,urn:nabu:derge-kangyur:toh94:45.4a.3,65978771481a8a494c926ecd80f197532e352d6443f71a94ab0527e60e065069,I1KG9171,7,3,exact,
a-toh94-45-4a-4,urn:nabu:derge-kangyur:toh94:45.4a.4,ae66a49b55cd63b34457e744302e2b173ca40897d91787287e3023caa9cb299d,I1KG9171,7,4,exact,
a-toh94-45-4a-5,urn:nabu:derge-kangyur:toh94:45.4a.5,318794cf1c5746926b2fa1147537cfb5412c379afbfcc8f65aa3219160347b87,I1KG9171,7,5,exact,
a-toh94-45-4a-6,urn:nabu:derge-kangyur:toh94:45.4a.6,81e64dd2f2aef635c6d6db181c4a81fbfc0f5bc102d348033df67cfcfaf471ae,I1KG9171,7,6,exact,
a-toh94-45-4a-7,urn:nabu:derge-kangyur:toh94:45.4a.7,9d7cb1bde58a3d0ba28f330de2323fe9ef27b94b689affe42c0631501ac28b8a,I1KG9171,7,7,exact,
a-toh94-45-4b-1,urn:nabu:derge-kangyur:toh94:45.4b.1,2a8d814143aafb405376f4f17d9d5a6155ef459e0dd0e95719e0406be134ddc0,I1KG9171,8,1,exact,
a-toh94-45-4b-2,urn:nabu:derge-kangyur:toh94:45.4b.2,729b84009dd93e3114f387c2af5367a5b2f9a6e0baa25543916b21179342bcaa,I1KG9171,8,2,exact,
a-toh94-45-4b-3,urn:nabu:derge-kangyur:toh94:45.4b.3,e83d43dea6115ef6117df869be4563efb1502ea298b94f382a1897552054d16f,I1KG9171,8,3,exact,
a-toh94-45-4b-4,urn:nabu:derge-kangyur:toh94:45.4b.4,d24cc1ebc21f1c6019f5038ffd856193a37e0a9193072443d8102d3c6abd3bd6,I1KG9171,8,4,exact,
a-toh94-45-4b-5,urn:nabu:derge-kangyur:toh94:45.4b.5,b0051319fe7797f7325d5ee5aaed2e07a5b08d9462aaebd8a3f35623592eabce,I1KG9171,8,5,exact,
a-toh94-45-4b-6,urn:nabu:derge-kangyur:toh94:45.4b.6,9a4649788ec64d74a70b63359507fe31f31fef3945b1d6aa9d018bb37ea0609a,I1KG9171,8,6,exact,
a-toh94-45-4b-7,urn:nabu:derge-kangyur:toh94:45.4b.7,7575e941e00f9db8aacf3ca6cffcb14276433c0d091ec2c7c479bf902abc89af,I1KG9171,8,7,exact,
a-toh94-45-5a-1,urn:nabu:derge-kangyur:toh94:45.5a.1,991be5ebbf956be106ce524bcb2fd4c04a12ec8d5418d9f88de72c8b010ed524,I1KG9171,9,1,exact,
a-toh94-45-5a-2,urn:nabu:derge-kangyur:toh94:45.5a.2,be3e3bc7c8dc95f378ce7202f4ae1c9f575ddbc9ae04d8d3718992ccf3a5c9fc,I1KG9171,9,2,exact,
a-toh94-45-5a-3,urn:nabu:derge-kangyur:toh94:45.5a.3,9d71e23d749592cd0b9fa6711009d5b61a35f222df6ead6c344f161b6ed3ab05,I1KG9171,9,3,exact,
a-toh94-45-5a-4,urn:nabu:derge-kangyur:toh94:45.5a.4,ee45d8ab4fe95a454d17f59c837b571368697d5d708c7a033a0e728a1b17e2dc,I1KG9171,9,4,exact,
a-toh94-45-5a-5,urn:nabu:derge-kangyur:toh94:45.5a.5,473f8d3633d295cdc152a6b7585644f03a8251e3b3f70cf8169b9648f3dc1ea6,I1KG9171,9,5,exact,
a-toh94-45-5a-6,urn:nabu:derge-kangyur:toh94:45.5a.6,30d67dcde9cab0274c9a723448eeabc5912150ed58281e4210ade719c5bf331b,I1KG9171,9,6,exact,
a-toh94-45-5a-7,urn:nabu:derge-kangyur:toh94:45.5a.7,39cd8ce9db5ade85902b6cd8923aed4d61fbfcefeae729e7c7754d21cf073c9e,I1KG9171,9,7,exact,
a-toh94-45-5b-1,urn:nabu:derge-kangyur:toh94:45.5b.1,518a4cfad7fb32bc8966cc1932ff9bad409eff0551d5b5cc64903ff5ba86f510,I1KG9171,10,1,exact,
a-toh94-45-5b-2,urn:nabu:derge-kangyur:toh94:45.5b.2,a98a80dc4aaefe2126250496a011df0ea7b20ddaa5fdd4254a14bdd1a5894cf8,I1KG9171,10,2,exact,
a-toh94-45-5b-3,urn:nabu:derge-kangyur:toh94:45.5b.3,46dec2a4730b169c8bc70cefcd72e9bc41e366d5c45dd45aaa5a0cd12dd17008,I1KG9171,10,3,exact,
a-toh94-45-5b-4,urn:nabu:derge-kangyur:toh94:45.5b.4,c204cbf005a83b70933476e19547e10a8ed5fe31492b31df3bb950380d92293d,I1KG9171,10,4,exact,
a-toh94-45-5b-5,urn:nabu:derge-kangyur:toh94:45.5b.5,179f4d88e80b953577a3309c903ce2ef033d0e3349a1c930aad8016a7e1561b0,I1KG9171,10,5,exact,
a-toh94-45-5b-6,urn:nabu:derge-kangyur:toh94:45.5b.6,6f1ec70444a9f7fc4d9349184039eb3df656fcbd7d97e9b66ead671d7c83bbd0,I1KG9171,10,6,exact,
a-toh94-45-5b-7,urn:nabu:derge-kangyur:toh94:45.5b.7,18b00dda9b359ed7db3b8ff9feed13dae9d9a52fd30d6be114aa2cfb8090858d,I1KG9171,10,7,exact,
