ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh7a-13-1a-1,urn:nabu:derge-kangyur:toh7a:13.1a.1,39b6be83d1a246e4e75306a3e48c3852f280a2e24ac05f69fd64dbc12a8220f7,I1KG9139,1,1,missing,
a-toh7a-13-1b-1,urn:nabu:derge-kangyur:toh7a:13.1b.1,5dfeed4818786e92dea28a0059dde7275280d5a1631bfa2cde0fc15f955387e3,I1KG9139,2,1,exact,
a-toh7a-13-1b-2,urn:nabu:derge-kangyur:toh7a:13.1b.2,9718a5f76b5555b245aa5b874714195352bdfa39ec27a5ec32771c9ff4264d24,I1KG9139,2,2,exact,
a-toh7a-13-1b-3,urn:nabu:derge-kangyur:toh7a:13.1b.3,d8e69b2554aa0e5d84fede0f04947e2f7afe224ffba0271d22be12e7e839783a,I1KG9139,2,3,exact,
a-toh7a-13-1b-4,urn:nabu:derge-kangyur:toh7a:13.1b.4,f5eb10cad85711a960ccf17186a78bb2855396f09dd4e0930cc46747082012ca,I1KG9139,2,4,exact,
a-toh7a-13-1b-5,urn:nabu:derge-kangyur:toh7a:13.1b.5,ae0abcfd0df1d4d475784ff72251e342dfb8994523558bce846d38c7e472591c,I1KG9139,2,5,exact,
a-toh7a-13-2a-1,urn:nabu:derge-kangyur:toh7a:13.2a.1,f155eee5736551085e7409747bd7543c8d4a4dc603a512014c0df8933c46f268,I1KG9139,3,1,exact,
a-toh7a-13-2a-2,urn:nabu:derge-kangyur:toh7a:13.2a.2,220b609aabc2903a21f2ca95b8539d65c8291e6b01f738020b2498c805113060,I1KG9139,3,2,exact,
a-toh7a-13-2a-3,urn:nabu:derge-kangyur:toh7a:13.2a.3,90012b9d1b562968b05b9edc93b083e63d910fc637294904ca9b3e9ca7538c84,I1KG9139,3,3,exact,
a-toh7a-13-2a-4,urn:nabu:derge-kangyur:toh7a:13.2a.4,f008903eb6adca2b591d559b8348a40f82b1d80c47a18fec928e61b4635c400f,I1KG9139,3,4,exact,
a-toh7a-13-2a-5,urn:nabu:derge-kangyur:toh7a:13.2a.5,80f45c2202c845429267278f90fa5315334e5722d98ffa81e7fd0965d246db92,I1KG9139,3,5,exact,
a-toh7a-13-2a-6,urn:nabu:derge-kangyur:toh7a:13.2a.6,056af9d654f548833dbd5fd684918c81fe72d89ea02df6ef01a52a986a16d10d,I1KG9139,3,6,exact,
a-toh7a-13-2b-1,urn:nabu:derge-kangyur:toh7a:13.2b.1,a17c71aa96c57600fc975f4f5066941239ea8fb6cb7ac6493b25bf349965b13d,I1KG9139,4,1,exact,
a-toh7a-13-2b-2,urn:nabu:derge-kangyur:toh7a:13.2b.2,c36bd2f24724186b4b8e31c985277a70db185adea589090bc6b5c874a72a8830,I1KG9139,4,2,exact,
