ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh8-24-1a-1,urn:nabu:derge-kangyur:toh8:24.1a.1,791501f734912b37540751271db226435ad4f34ca5d6a673a690dc846a90abb2,I1KG9150,1,1,missing,
a-toh8-24-1b-1,urn:nabu:derge-kangyur:toh8:24.1b.1,d72658d93c4e6883e9932c0c8b319a10ddf1ad2424119074b0b4b6c9e4374548,I1KG9150,2,1,exact,
a-toh8-24-1b-2,urn:nabu:derge-kangyur:toh8:24.1b.2,decfecbe803df95286cecb73e0fdd8c7764bc42c66e4fa581a6fea952f85561f,I1KG9150,2,2,exact,
a-toh8-24-1b-3,urn:nabu:derge-kangyur:toh8:24.1b.3,2c070c4de1f90b8727c61f564c6e68265c55e4e47d14c3848a3fa5122f21d12c,I1KG9150,2,3,exact,
a-toh8-24-1b-4,urn:nabu:derge-kangyur:toh8:24.1b.4,b2e847682c45a433d011e0d7a44e45b6d27f7e54bc95109e3894420571fbc349,I1KG9150,2,4,exact,
a-toh8-24-1b-5,urn:nabu:derge-kangyur:toh8:24.1b.5,b5cfcede3663a9575e36b0a7f50378935fef7e3dc0a4fc86ad3a4668c6c5564f,I1KG9150,2,5,exact,
a-toh8-24-2a-1,urn:nabu:derge-kangyur:toh8:24.2a.1,54a1fc9e7d4a9c2afb1bcfe45a5502363b2957985134a41ddaf16cd834e14dc6,I1KG9150,3,1,exact,
a-toh8-24-2a-2,urn:nabu:derge-kangyur:toh8:24.2a.2,62120a69ba2d4b1e810f5ac30ce2ab22e72d94310547cee8893634880e82b619,I1KG9150,3,2,exact,
a-toh8-24-2a-3,urn:nabu:derge-kangyur:toh8:24.2a.3,8ec1eab729a92e95af3e80d1b48ff38b2cccc0b49a056da24c94348499985cf7,I1KG9150,3,3,exact,
a-toh8-24-2a-4,urn:nabu:derge-kangyur:toh8:24.2a.4,9659d1fbb54be794c4fe7aacd99c1b0f08d1e9ad345180c227f83ae7f607f071,I1KG9150,3,4,exact,
a-toh8-24-2a-5,urn:nabu:derge-kangyur:toh8:24.2a.5,483d3c22620d6d21410deb23c9a8073c97abdaa78cc46f08702b41a20e6ed740,I1KG9150,3,5,exact,
a-toh8-24-2a-6,urn:nabu:derge-kangyur:toh8:24.2a.6,3b62995355bb051701434e766779e31db3cbc85336eb454b27bb90e4637ee82d,I1KG9150,3,6,exact,
a-toh8-24-2b-1,urn:nabu:derge-kangyur:toh8:24.2b.1,f409bec4ca58e353baf07aa61a0dd3909a0082acd1c8225f30151b0c3fbc2cd8,I1KG9150,4,1,exact,
a-toh8-24-2b-2,urn:nabu:derge-kangyur:toh8:24.2b.2,d74909dd7f72448417386e3f0cd5cf5093d2c76af2cfbaae5758de3d10540609,I1KG9150,4,2,exact,
a-toh8-24-2b-3,urn:nabu:derge-kangyur:toh8:24.2b.3,687aeaf796a0b30c1712fd1c00e47f89d652389c1bfaee9b84fc6bd66879d070,I1KG9150,4,3,exact,
a-toh8-24-2b-4,urn:nabu:derge-kangyur:toh8:24.2b.4,a680d1d134d21be98cc1b1f5c40ec0c5e00aa85865dba9abec499a428154a846,I1KG9150,4,4,exact,
a-toh8-24-2b-5,urn:nabu:derge-kangyur:toh8:24.2b.5,4484ff4ee4f397972dcb289d0cb91e81bc67056d6a1ba3f3b5f613865b50144c,I1KG9150,4,5,exact,
a-toh8-24-2b-6,urn:nabu:derge-kangyur:toh8:24.2b.6,9e824e7d6c6df6ee128802176832609f810c2dd985ee91d12538189a3d7d8ad6,I1KG9150,4,6,exact,
a-toh8-24-2b-7,urn:nabu:derge-kangyur:toh8:24.2b.7,4b336c307cbac098a0bd537b109b131a863fc8357cd9668d112ee441b7d7aac5,I1KG9150,4,7,exact,
a-toh8-24-3a-1,urn:nabu:derge-kangyur:toh8:24.3a.1,219b5305a8a06ff7270662ac60e8e493dd0b81792193c66bd5db1b8110445481,I1KG9150,5,1,exact,
a-toh8-24-3a-2,urn:nabu:derge-kangyur:toh8:24.3a.2,c1acbb83faedbf0ab1728452ca27859ceb67927567a8127b62ed4abcb7b94652,I1KG9150,5,2,exact,
a-toh8-24-3a-3,urn:nabu:derge-kangyur:toh8:24.3a.3,42d2a6efec86d9fd32a2c65845e4fb4395c0d5568d79a9262d8a3baae01b2a9f,I1KG9150,5,3,exact,
a-toh8-24-3a-4,urn:nabu:derge-kangyur:toh8:24.3a.4,b2113bc29779776e289009f54d4fd3ae93a7e0aff5be90c74fa06f90a5e5f40c,I1KG9150,5,4,exact,
a-toh8-24-3a-5,urn:nabu:derge-kangyur:toh8:24.3a.5,ec72a607e1b18feaebd2f3f9db74dff5c8b9016ca4a92bce23626ae4851e546e,I1KG9150,5,5,exact,
a-toh8-24-3a-6,urn:nabu:derge-kangyur:toh8:24.3a.6,68d14bc5872b8f5df1ede9f888a835903b3d74bb9c746609eb5018a0e9425b63,I1KG9150,5,6,exact,
a-toh8-24-3a-7,urn:nabu:derge-kangyur:toh8:24.3a.7,4d43ee80ec6745569749fbe91dc34df206f0a8825e6415e5af9d1428f2847b30,I1KG9150,5,7,exact,
a-toh8-24-3b-1,urn:nabu:derge-kangyur:toh8:24.3b.1,2a060e9bd5e303ed7e00605be1f26b1fa993fbd47876cdd78627acf5ec57b7c9,I1KG9150,6,1,exact,
a-toh8-24-3b-2,urn:nabu:derge-kangyur:toh8:24.3b.2,c2720701c3dcf3634b46391bfe49210c8764086d51b98f21bb4495cafe8990b6,I1KG9150,6,2,exact,
a-toh8-24-3b-3,urn:nabu:derge-kangyur:toh8:24.3b.3,27c570ea3da106b7b1c887f964f0a80435c0a54b3008ae0bf330d710bb902ca4,I1KG9150,6,3,exact,
a-toh8-24-3b-4,urn:nabu:derge-kangyur:toh8:24.3b.4,d0082e2f28a6b0f07a2ec810b777aa3aec8b1e85b42ff1afa5abc25ede0a7022,I1KG9150,6,4,exact,
a-toh8-24-3b-5,urn:nabu:derge-kangyur:toh8:24.3b.5,5fecca2fd728521bbd19ebd9168c0df5e25843090ac9c4f00e5b8aef36dd3864,I1KG9150,6,5,exact,
