ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh119-53-1a-1,urn:nabu:derge-kangyur:toh119:53.1a.1,8e7e0e96a08fb9a91ff1cec86df2739e18f80fea6e6ff13c1040e0f2f377a830,I1KG9179,1,1,missing,
a-toh119-53-1b-1,urn:nabu:derge-kangyur:toh119:53.1b.1,b436c7ac42622b1d267fdd53153b8aa85f92149d858d4e1407ba8d2e9d0e8a3a,I1KG9179,2,1,exact,
a-toh119-53-1b-2,urn:nabu:derge-kangyur:toh119:53.1b.2,2a731fb84c89288cc2af58106dae4e88dfc2b895285bd540c8124aa6629770d6,I1KG9179,2,2,exact,
a-toh119-53-1b-3,urn:nabu:derge-kangyur:toh119:53.1b.3,17b26eb4e95b57871e9a48af64f7abed554c3a995c87e08f43e71f55077bc64d,I1KG9179,2,3,exact,
a-toh119-53-1b-4,urn:nabu:derge-kangyur:toh119:53.1b.4,09b6f8a6fb52582ee0b34b132ca6205c33982df858a957637e1507c89061b1b8,I1KG9179,2,4,exact,
a-toh119-53-1b-5,urn:nabu:derge-kangyur:toh119:53.1b.5,2d602142a9bab2c77bcc068e6d1d9b33043fa70996926650b8aa6951baa4bd2b,I1KG9179,2,5,exact,
a-toh119-53-2a-1,urn:nabu:derge-kangyur:toh119:53.2a.1,36db196790b2d4af8d03f6f19353586e277b4143db9e87038141b76968467b56,I1KG9179,3,1,exact,
a-toh119-53-2a-2,urn:nabu:derge-kangyur:toh119:53.2a.2,23356a31a76eaa9fdc40bc93ee3917fd596de17ad51d10e06f64e32393a83a92,I1KG9179,3,2,exact,
a-toh119-53-2a-3,urn:nabu:derge-kangyur:toh119:53.2a.3,890286e0b68d41ae7c33234f61b1aafafc36d4b3171b2df8984b815c3da1fb4f,I1KG9179,3,3,exact,
a-toh119-53-2a-4,urn:nabu:derge-kangyur:toh119:53.2a.4,717ddfa40ab75e537a2b13d7ffa16a753b3617b19bfa526098577fc30db53ad7,I1KG9179,3,4,exact,
a-toh119-53-2a-5,urn:nabu:derge-kangyur:toh119:53.2a.5,196de7026102fa79eeb18335c158c5857aa0b0cc8f0a91013e0659c61492e2c4,I1KG9179,3,5,exact,
a-toh119-53-2a-6,urn:nabu:derge-kangyur:toh119:53.2a.6,b4ce2c01bdb0daf6f64aef640bcf81b0a9f26d242c2b1210b78c220d0f52ea8b,I1KG9179,3,6,exact,
a-toh119-53-2b-1,urn:nabu:derge-kangyur:toh119:53.2b.1,136afcf8653da1f9823a86c5cc318bed0651723d830bee68870d725898c77a1f,I1KG9179,4,1,exact,
a-toh119-53-2b-2,urn:nabu:derge-kangyur:toh119:53.2b.2,ea151dd59fce6de1aad322c429bce256e0706e77619bad9e5da9394d599e4c53,I1KG9179,4,2,exact,
a-toh119-53-2b-3,urn:nabu:derge-kangyur:toh119:53.2b.3,b3913f1a439a7a9e5906963fbc3832195ebc320f7a3ccfb85b20bf90b2fc38db,I1KG9179,4,3,exact,
a-toh119-53-2b-4,urn:nabu:derge-kangyur:toh119:53.2b.4,b156f9cf8157bc01ead354d21bb365b275bcda19623d32718ebf1e9f1ad03e76,I1KG9179,4,4,exact,
a-toh119-53-2b-5,urn:nabu:derge-kangyur:toh119:53.2b.5,618077e6d877738b4cd225e8dad35a8ad59306274301270bdd4e0eb51c7ff227,I1KG9179,4,5,exact,
a-toh119-53-2b-6,urn:nabu:derge-kangyur:toh119:53.2b.6,4ada7d82844d988dc18466c69487c92370934289d770b39ebdcb172187a80e19,I1KG9179,4,6,exact,
a-toh119-53-2b-7,urn:nabu:derge-kangyur:toh119:53.2b.7,8461616232dbdab0ee86daf2639ca2b1d2f11b0228620a434c9ebb99b23777a6,I1KG9179,4,7,exact,
a-toh119-53-3a-1,urn:nabu:derge-kangyur:toh119:53.3a.1,e742f913ce60f6fbcb2e029e532be9682dd4ab69dbedf602f18599af6212ca76,I1KG9179,5,1,exact,
a-toh119-53-3a-2,urn:nabu:derge-kangyur:toh119:53.3a.2,1fa7255779d32271f7fb81593370620bf30507242d0d643635e9ac28c6b2fa39,I1KG9179,5,2,exact,
a-toh119-53-3a-3,urn:nabu:derge-kangyur:toh119:53.3a.3,782f297cee5724336b0438ff252b54377075840c792e0b926b3b7ef2c21c797b,I1KG9179,5,3,exact,
a-toh119-53-3a-4,urn:nabu:derge-kangyur:toh119:53.3a.4,8c0cbd400d91c318ace1f69b1fced8a2cebb52d97f52fd0093a64dc46e44ba0b,I1KG9179,5,4,exact,
