ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh11-33-1a-1,urn:nabu:derge-kangyur:toh11:33.1a.1,44e7fe13439e3310908a517e163725607ba9f667809e5b7ff0fca6fb395e0ec3,I1KG9159,1,1,missing,
a-toh12-33-1b-1,urn:nabu:derge-kangyur:toh12:33.1b.1,7dba45beb3cd3ce4d703e75f2b722eb36b88bf365c224b65812df621a6194005,I1KG9159,2,1,exact,
a-toh12-33-1b-2,urn:nabu:derge-kangyur:toh12:33.1b.2,6d2a8edfb6f7de3649490add96f37514b46cb96df9a80a5c3e3afed2286e2301,I1KG9159,2,2,exact,
a-toh12-33-1b-3,urn:nabu:derge-kangyur:toh12:33.1b.3,203c5b2e840d3e8831bd29bb0ebe62ff6f8a2a7bf4e3d103eaff20822b6a1f66,I1KG9159,2,3,exact,
a-toh12-33-1b-4,urn:nabu:derge-kangyur:toh12:33.1b.4,4ce81e2d0772da61bd76babff1cd39583ff22b3526d800ab3c714d728ddd450d,I1KG9159,2,4,exact,
a-toh12-33-1b-5,urn:nabu:derge-kangyur:toh12:33.1b.5,07d9c281486aee268362bdcf2c5ceb96c57aad7dcd0def815bc7d8ba2566c4a7,I1KG9159,2,5,exact,
a-toh12-33-2a-1,urn:nabu:derge-kangyur:toh12:33.2a.1,8b17a78d84480909fc9f41fac6dddfb8c8a8eb4fe7b3e8e9e30a33b49f1436fa,I1KG9159,3,1,exact,
a-toh12-33-2a-2,urn:nabu:derge-kangyur:toh12:33.2a.2,08b40a0f935a4e6d02d080e9e7e3238ace4e94d7c9880c5efe67e2449bd1421b,I1KG9159,3,2,exact,
a-toh12-33-2a-3,urn:nabu:derge-kangyur:toh12:33.2a.3,3bf71d57bdf4c3b73ed4509d96d0527bbbc64e2829e5018c638f6bda4f32a020,I1KG9159,3,3,exact,
a-toh12-33-2a-4,urn:nabu:derge-kangyur:toh12:33.2a.4,dc37c6c38a6c8514c872027cc74a2d6607decb4affa1f0229301464821ab18dc,I1KG9159,3,4,exact,
a-toh12-33-2a-5,urn:nabu:derge-kangyur:toh12:33.2a.5,81b77d85f4c53de2be2ce91ccf26b3a371393d3408c4a30964067ac85de974f0,I1KG9159,3,5,exact,
a-toh12-33-2a-6,urn:nabu:derge-kangyur:toh12:33.2a.6,7112603a696a6180e80beaa7fbe7896f931d91f71e493efe2b6f5005f08e3600,I1KG9159,3,6,exact,
a-toh12-33-2b-1,urn:nabu:derge-kangyur:toh12:33.2b.1,24aec1d23a3f93ed1aaacaa2a6814d04f940b7d0203c209ea47406658aa590c9,I1KG9159,4,1,exact,
a-toh12-33-2b-2,urn:nabu:derge-kangyur:toh12:33.2b.2,af4b0b1dcced100aa8b92a04f0056d231245cef375a81b007cda0d00d9a64241,I1KG9159,4,2,exact,
a-toh12-33-2b-3,urn:nabu:derge-kangyur:toh12:33.2b.3,bf8a082272ef5538c4c62e3667c456498749a650e6df719196363ac39964af3d,I1KG9159,4,3,exact,
a-toh12-33-2b-4,urn:nabu:derge-kangyur:toh12:33.2b.4,0996e653bcc8743f4372695c64c0ebec8eaef936433782fee5b0989fa670c417,I1KG9159,4,4,exact,
a-toh12-33-2b-5,urn:nabu:derge-kangyur:toh12:33.2b.5,3504e8d0be2fa3587b294cbd07d8bf5f4186f4fa9465a08b687f9269f3017856,I1KG9159,4,5,exact,
a-toh12-33-2b-6,urn:nabu:derge-kangyur:toh12:33.2b.6,3b728419f1e42f19ea179bb565eb8c002a816182651112bbaeaf0d6962537384,I1KG9159,4,6,exact,
a-toh12-33-2b-7,urn:nabu:derge-kangyur:toh12:33.2b.7,e3f0d597e82e8e3efec3cb0f5db8bbf8f1a27275b1d45dc7917a2adbe5ce6e02,I1KG9159,4,7,exact,
a-toh12-33-3a-1,urn:nabu:derge-kangyur:toh12:33.3a.1,49271fdfdad2559860619b0df9319ebe4dd122eb53e0c60dfc77cfce8844942b,I1KG9159,5,1,exact,
a-toh12-33-3a-2,urn:nabu:derge-kangyur:toh12:33.3a.2,9110c705936ff42ef3f4ea4532411823197a61fd89f9f42992e80a1754454825,I1KG9159,5,2,exact,
a-toh12-33-3a-3,urn:nabu:derge-kangyur:toh12:33.3a.3,a55c3596f2ab3fe896a4aeb61fa2d006510435760d3afe194eb47b304776693b,I1KG9159,5,3,exact,
a-toh12-33-3a-4,urn:nabu:derge-kangyur:toh12:33.3a.4,35afe92715922d4934cd01047cee0bfaf5decc1d06c9f54d8a97ec2a46acaaad,I1KG9159,5,4,exact,
a-toh12-33-3a-5,urn:nabu:derge-kangyur:toh12:33.3a.5,f606f6a0b993063bbcaa01ada01a4ff38cfd7d6a64895ef15acbb0d1ca19a956,I1KG9159,5,5,exact,
a-toh12-33-3a-6,urn:nabu:derge-kangyur:toh12:33.3a.6,602b57558dd26c22290322f1e45b2aa9e4f0eb08cc8a3ede94a697402de99060,I1KG9159,5,6,exact,
a-toh12-33-3a-7,urn:nabu:derge-kangyur:toh12:33.3a.7,1ac3564b9ec214bd4632a573824138e4e7ea14a61a73cec19eb667ebaca2866e,I1KG9159,5,7,exact,
a-toh12-33-3b-1,urn:nabu:derge-kangyur:toh12:33.3b.1,921b18e43b99a8ac5c00eaa095e2b81e1c3a2aec6c7d9182a3b3b9b637c89391,I1KG9159,6,1,exact,
a-toh12-33-3b-2,urn:nabu:derge-kangyur:toh12:33.3b.2,520ea0ef18127b7cb2dd2318e0e02ad002f8cff8b523811ed969fd601029b80a,I1KG9159,6,2,exact,
a-toh12-33-3b-3,urn:nabu:derge-kangyur:toh12:33.3b.3,fe092bfdc82f109c1abc7c835cb0fa6c80dd8d6859e2822eade38f633a79235d,I1KG9159,6,3,exact,
a-toh12-33-3b-4,urn:nabu:derge-kangyur:toh12:33.3b.4,541683110e0bd3755d1c196e98501bbdd5fbdb35b0385947c49c0bcabbc2fa3d,I1KG9159,6,4,exact,
a-toh12-33-3b-5,urn:nabu:derge-kangyur:toh12:33.3b.5,d78b8304a66b724888a922d8863edf468cbdb1871895f4f9b38b28f4567b3dd2,I1KG9159,6,5,exact,
a-toh12-33-3b-6,urn:nabu:derge-kangyur:toh12:33.3b.6,3e3aeabfe1235ebae1da27d628175b9489b04b7b0e3b3c5089cc19401b9c9c3e,I1KG9159,6,6,exact,
a-toh12-33-3b-7,urn:nabu:derge-kangyur:toh12:33.3b.7,5229a3cdf3bc4bf2bc6fc2482b8c09ee6c74c1e04676a08388501a7d37a1bbe7,I1KG9159,6,7,exact,
a-toh12-33-4a-1,urn:nabu:derge-kangyur:toh12:33.4a.1,d45ab1103f23a45bdc9d8dc8d71e29979763b9f53c120a93ce303f0ffcc502cd,I1KG9159,7,1,exact,
a-toh12-33-4a-2,urn:nabu:derge-kangyur:toh12:33.4a.2,bed6909beffc9e8bf3cd276a36a2015daeba7fc494479f1a5418d4690ab4773a,I1KG9159,7,2,exact,
a-toh12-33-4a-3,urn:nabu:derge-kangyur:toh12:33.4a.3,e92caf63480c9971872f486ac2d6c083c5393f92199afda4ae548d3167712d82,I1KG9159,7,3,exact,
a-toh12-33-4a-4,urn:nabu:derge-kangyur:toh12:33.4a.4,1390664fb06620ae8b09e8a23e8daf1fcf101a82d3f9f30bf0b61f8b094dc1eb,I1KG9159,7,4,exact,
a-toh12-33-4a-5,urn:nabu:derge-kangyur:toh12:33.4a.5,bd53c81900206b86785dc3d2bf3a977188011b9ff663ff9e2a43a4be67674be2,I1KG9159,7,5,exact,
a-toh12-33-4a-6,urn:nabu:derge-kangyur:toh12:33.4a.6,30af1cf419e9347ec04bfb350f60ed98c8e3ddabf84adf27fa98b5a22d7ad663,I1KG9159,7,6,exact,
a-toh12-33-4a-7,urn:nabu:derge-kangyur:toh12:33.4a.7,3676f9f083eedad488547e8cd6d2b85238b7b770e1d77fffa089f6e874789c69,I1KG9159,7,7,exact,
a-toh12-33-4b-1,urn:nabu:derge-kangyur:toh12:33.4b.1,205c8fd7593d54b4c9b9818da13ceb8abc057a4659d3cfc166483dd7b870bcfc,I1KG9159,8,1,exact,
