ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh7a-14-1a-1,urn:nabu:derge-kangyur:toh7a:14.1a.1,4b0aaea1c6fd6a59bc4851e2c57696b3c4ed7b85e97cb7f3635a18c71b04b82c,I1KG9140,1,1,missing,
a-toh8-14-1b-1,urn:nabu:derge-kangyur:toh8:14.1b.1,6e9cc780c0b2b00e2fb6b8f6d66dd50a08b5276eec5aad4fc56fd9c48f76acc9,I1KG9140,2,1,exact,
a-toh8-14-1b-2,urn:nabu:derge-kangyur:toh8:14.1b.2,a82498cc528306aed03ddb3be1fac4f8ae38ab6dd4e7d7ebd80f2b00584afa38,I1KG9140,2,2,exact,
a-toh8-14-1b-3,urn:nabu:derge-kangyur:toh8:14.1b.3,08030cb3d27c16f289e79bf0a6090b121c4c17d5eee33bf4fb899026995a7b29,I1KG9140,2,3,exact,
a-toh8-14-1b-4,urn:nabu:derge-kangyur:toh8:14.1b.4,0a43940dcde593fa94f270d6bd840061dd7dea33f30e9dd948ea3c664b867158,I1KG9140,2,4,exact,
a-toh8-14-1b-5,urn:nabu:derge-kangyur:toh8:14.1b.5,3e9389da9ecab8f099bcec9df42eb167973f99f2a37452a1506c876206653927,I1KG9140,2,5,exact,
a-toh8-14-2a-1,urn:nabu:derge-kangyur:toh8:14.2a.1,faf7d3bc2601c67bad72c279f054774a8203b1bc488b5871320e12b956c2769b,I1KG9140,3,1,exact,
a-toh8-14-2a-2,urn:nabu:derge-kangyur:toh8:14.2a.2,6450e3b90ad52778c6292002ddc6344ba5ab9251f9d92eb2ae84b965ded772f2,I1KG9140,3,2,exact,
a-toh8-14-2a-3,urn:nabu:derge-kangyur:toh8:14.2a.3,7d2f34b066ee454a9f3d301fb468e748505760b342e16ac3f354f411f4a1688c,I1KG9140,3,3,exact,
a-toh8-14-2a-4,urn:nabu:derge-kangyur:toh8:14.2a.4,02a094980a78a14757a728207b8e50ca62b533322d411f1d7048f8011aa5f7ef,I1KG9140,3,4,exact,
a-toh8-14-2a-5,urn:nabu:derge-kangyur:toh8:14.2a.5,cbac1e51598ff5742e73d0bf15762eb51a5023143c13aef5e4d51fc471e96b08,I1KG9140,3,5,exact,
a-toh8-14-2a-6,urn:nabu:derge-kangyur:toh8:14.2a.6,2630593fa355cf289cc09246ab6833bee268be010d0c4a4a52e6336309aaa7d6,I1KG9140,3,6,exact,
a-toh8-14-2b-1,urn:nabu:derge-kangyur:toh8:14.2b.1,42eb1b4f769a0d9c3d09b584ed5669a84e65730e71223db3a4758d35bbe61671,I1KG9140,4,1,exact,
a-toh8-14-2b-2,urn:nabu:derge-kangyur:toh8:14.2b.2,5de8cd9fff212425068dfd4d96c0f4e5ed1c90f030508ff8445781aae30fb5bf,I1KG9140,4,2,exact,
a-toh8-14-2b-3,urn:nabu:derge-kangyur:toh8:14.2b.3,b20ed03aa466bd75044e4485f95404ac92494f1ec61f205ad9dc09186937727b,I1KG9140,4,3,exact,
a-toh8-14-2b-4,urn:nabu:derge-kangyur:toh8:14.2b.4,e47fc8f85ebaaa2c9916c8525c3faf623539a6626a25db64cbac84b088a08d84,I1KG9140,4,4,exact,
a-toh8-14-2b-5,urn:nabu:derge-kangyur:toh8:14.2b.5,465f95de49a9d389f2b98b3de91ac6abed83e18d8d523774a2135b1d80a765aa,I1KG9140,4,5,exact,
a-toh8-14-2b-6,urn:nabu:derge-kangyur:toh8:14.2b.6,67a24b3c48ac559c63bf1dd38877c054b3bbd3a06f335267cf5205c6b7dfd4c9,I1KG9140,4,6,exact,
a-toh8-14-2b-7,urn:nabu:derge-kangyur:toh8:14.2b.7,b197baf016035fa683d38641ee528d6c11227bd75b8a174042d7f09e4db17279,I1KG9140,4,7,exact,
a-toh8-14-3a-1,urn:nabu:derge-kangyur:toh8:14.3a.1,94758d9bb9976c523204731ab0f1a89e642839a52fa09b86fc66dcd8e0f7cbbd,I1KG9140,5,1,exact,
a-toh8-14-3a-2,urn:nabu:derge-kangyur:toh8:14.3a.2,6bebb50a54b4daff7abfa0c02fd5c8a54aff06215d1fbe70c1ba102919d4fd79,I1KG9140,5,2,exact,
a-toh8-14-3a-3,urn:nabu:derge-kangyur:toh8:14.3a.3,e6df64add34656c945c4058a0178112156584ca950b6d4f694d3db08f5804058,I1KG9140,5,3,exact,
a-toh8-14-3a-4,urn:nabu:derge-kangyur:toh8:14.3a.4,fb8c80ad1615dde2ccb88dd47839aab7506b524eb6e288f387e4f918466a97a1,I1KG9140,5,4,exact,
a-toh8-14-3a-5,urn:nabu:derge-kangyur:toh8:14.3a.5,4341402e2f39e79966a2839f9dc2a81ff9f82a987bd2d14c8efea3256cd471e0,I1KG9140,5,5,exact,
a-toh8-14-3a-6,urn:nabu:derge-kangyur:toh8:14.3a.6,14324b474317d97006ed393291aad0637653d1380487d2e8209adc6f637b12e8,I1KG9140,5,6,exact,
a-toh8-14-3a-7,urn:nabu:derge-kangyur:toh8:14.3a.7,1ba178a1353607ac40fb3f114d2bd4d3f82dd7c1b1bde43689d6e0955508e989,I1KG9140,5,7,exact,
a-toh8-14-3b-1,urn:nabu:derge-kangyur:toh8:14.3b.1,d4b7767db06853694e4395f099ade7cd3553a7931657371cd3b71e9328522181,I1KG9140,6,1,exact,
a-toh8-14-3b-2,urn:nabu:derge-kangyur:toh8:14.3b.2,fe196518f0f9c0b2c1b22894f7be953143fd5d958330f284aa9a2c05dc16be6c,I1KG9140,6,2,exact,
a-toh8-14-3b-3,urn:nabu:derge-kangyur:toh8:14.3b.3,44ffa10b8b264d7b221005793a0153913c772ea9866e4cc868329cf3c4ff805b,I1KG9140,6,3,exact,
a-toh8-14-3b-4,urn:nabu:derge-kangyur:toh8:14.3b.4,6c411641f8bf76baf52235aa2060e198181f329090bd240761ed5804021796a7,I1KG9140,6,4,exact,
a-toh8-14-3b-5,urn:nabu:derge-kangyur:toh8:14.3b.5,42599b02ad5a8e74cfa3dde471d6eb9e8d602d68df0bf3de499948248c4eaf01,I1KG9140,6,5,exact,
a-toh8-14-3b-6,urn:nabu:derge-kangyur:toh8:14.3b.6,a2bebf0ccdbe5c0368f15f91f39b35eeabc2914aa4a52f8d3789ae433f15b933,I1KG9140,6,6,exact,
a-toh8-14-3b-7,urn:nabu:derge-kangyur:toh8:14.3b.7,42547950b72771afa7c1d598c313f5a1d73fe54f2960fc1d0dfc11fed8a795a9,I1KG9140,6,7,exact,
a-toh8-14-4a-1,urn:nabu:derge-kangyur:toh8:14.4a.1,c94de74f1c54277f861e29c011ca85874eebbfcbba14b5468e97af1dd5633c2a,I1KG9140,7,1,exact,
a-toh8-14-4a-2,urn:nabu:derge-kangyur:toh8:14.4a.2,afa127332f822de7b467e894963a1c72994808cd5b1a90f1fa5d686b71512d38,I1KG9140,7,2,exact,
a-toh8-14-4a-3,urn:nabu:derge-kangyur:toh8:14.4a.3,6133bcc0dfeb74a8e57130e31cef97e6e52def095c7fb8d613acf1469cec042b,I1KG9140,7,3,exact,
a-toh8-14-4a-4,urn:nabu:derge-kangyur:toh8:14.4a.4,62f3b238f769ff8d4291015830b6cd680fb7ab418906d1b66fff325669bf0580,I1KG9140,7,4,exact,
a-toh8-14-4a-5,urn:nabu:derge-kangyur:toh8:14.4a.5,9bc375914ac85dce238a25653089cd0e9b2914b03581ed0fc1b628aeb55c4398,I1KG9140,7,5,exact,
a-toh8-14-4a-6,urn:nabu:derge-kangyur:toh8:14.4a.6,4513266cfe502da976f80173a906ccde573b6fadb08644611da95f43ce3bb894,I1KG9140,7,6,exact,
a-toh8-14-4a-7,urn:nabu:derge-kangyur:toh8:14.4a.7,4fb0b714e82b3659361da9a99776f88937732cd5e4b960a9f8355a7c86b2d5c3,I1KG9140,7,7,exact,
