ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh724-94-1a-1,urn:nabu:derge-kangyur:toh724:94.1a.1,1d502441f8b4b3132dc6dedfce522e097d575c4e01987f316098e0c394213a61,I1KG9220,1,1,missing,
a-toh724-94-1b-1,urn:nabu:derge-kangyur:toh724:94.1b.1,181a4f768788dd9a9508ae7d3934eedf6f83570e4a6bfa608523135dbf03df48,I1KG9220,2,1,exact,
a-toh724-94-1b-2,urn:nabu:derge-kangyur:toh724:94.1b.2,8b96141a5446ec44c2111b0839cf0e31ceb64db2fbd7bbb30815739ee0947491,I1KG9220,2,2,exact,
a-toh724-94-1b-3,urn:nabu:derge-kangyur:toh724:94.1b.3,a67fa2bdf3c45ecb162b559a444fa0338987f8c4895840305fd2a2694b512323,I1KG9220,2,3,exact,
a-toh724-94-1b-4,urn:nabu:derge-kangyur:toh724:94.1b.4,320b7e9dc371ba713450791575270e66123b2b49fea3b4d82e7e2324cb50dfc0,I1KG9220,2,4,exact,
a-toh724-94-1b-5,urn:nabu:derge-kangyur:toh724:94.1b.5,bda5e942de1ddfdb2ebfdaa4d9bba0b4f92d1446094925107d63c6ab55cf704c,I1KG9220,2,5,exact,
a-toh724-94-2a-1,urn:nabu:derge-kangyur:toh724:94.2a.1,38bf2c94269e66c096ae9d7f9725811b45ab1b36585b06299b146b71f871c499,I1KG9220,3,1,exact,
a-toh724-94-2a-2,urn:nabu:derge-kangyur:toh724:94.2a.2,ee167ec7c133cef79fe0742515832bcb52f6ecfe612bc974835bb5e668158b23,I1KG9220,3,2,exact,
a-toh724-94-2a-3,urn:nabu:derge-kangyur:toh724:94.2a.3,32d5c091a1e05539b145e6e891921364e629f8907a18656377f869b1ccac3ea1,I1KG9220,3,3,exact,
a-toh724-94-2a-4,urn:nabu:derge-kangyur:toh724:94.2a.4,1801628fea987e7039e960c25af595240891b3da284eecec70be67d15fffca1d,I1KG9220,3,4,exact,
a-toh724-94-2a-5,urn:nabu:derge-kangyur:toh724:94.2a.5,fea538a58dd7c018eae754db6df85bc172716d1dd8f3c361268f000234a20982,I1KG9220,3,5,exact,
a-toh724-94-2a-6,urn:nabu:derge-kangyur:toh724:94.2a.6,e836de3c37c121511e2214e8736caf779d7b69b7c76adda33ef5afd272bd7eae,I1KG9220,3,6,exact,
a-toh724-94-2b-1,urn:nabu:derge-kangyur:toh724:94.2b.1,482b15898fb97e2397d62868f8aba6460c95181da777070ec3934d896f77dcc3,I1KG9220,4,1,exact,
a-toh724-94-2b-2,urn:nabu:derge-kangyur:toh724:94.2b.2,a2adff7836df099991eb81ef18a03c539271a54bf6ecfa11a25e23b136c5149b,I1KG9220,4,2,exact,
a-toh724-94-2b-3,urn:nabu:derge-kangyur:toh724:94.2b.3,5d02306ebbfd39505ab1a007d5db731b95b0ad01b73619fa23049f4e2b735fab,I1KG9220,4,3,exact,
a-toh724-94-2b-4,urn:nabu:derge-kangyur:toh724:94.2b.4,7db18d1966add66b248102d594f10549f2bfb399f9815979ef7b98dac5ab5a62,I1KG9220,4,4,exact,
a-toh724-94-2b-5,urn:nabu:derge-kangyur:toh724:94.2b.5,9a9ff9586025db3d046225469914b1560987d7a8b470a08a06096ad471d8217d,I1KG9220,4,5,exact,
a-toh724-94-2b-6,urn:nabu:derge-kangyur:toh724:94.2b.6,1c8882ea7462407327bd9e27cb6d94a083d2b323b5a956dc980f7213e4d6c3a8,I1KG9220,4,6,exact,
a-toh724-94-2b-7,urn:nabu:derge-kangyur:toh724:94.2b.7,9ebcf8d8fc92edbcf0207a5f6ec8cffa222563d16f5ffe0470867c373a4c2be3,I1KG9220,4,7,exact,
a-toh724-94-3a-1,urn:nabu:derge-kangyur:toh724:94.3a.1,329cdd8d66ffe8b110c31ced5211a01358c854694cd0aa38f644caf27f4feb99,I1KG9220,5,1,exact,
a-toh724-94-3a-2,urn:nabu:derge-kangyur:toh724:94.3a.2,487acaf62c6f48091c9483816318c6afbfd054557a05ee2c2b4d1c16bb4ae3bb,I1KG9220,5,2,exact,
a-toh724-94-3a-3,urn:nabu:derge-kangyur:toh724:94.3a.3,8f5267dd93d0d8e51ccbfaef6a7465c043e0c1d20c55882796f932cb8a5a1fb9,I1KG9220,5,3,exact,
