ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh287-71-1a-1,urn:nabu:derge-kangyur:toh287:71.1a.1,b735f2e2787a37cf3021cd9ad9c94b5754af34b283c8ffc0a3385c742e1569cc,I1KG9197,1,1,missing,
a-toh287-71-1b-1,urn:nabu:derge-kangyur:toh287:71.1b.1,a75ca767c3bc85cd3ee1c4ab042d4c6fd5ebc5d9309332688b8a3ccd3c6cdd11,I1KG9197,2,1,exact,
a-toh287-71-1b-2,urn:nabu:derge-kangyur:toh287:71.1b.2,de730134f5f964e6e4202715a7226529b5bf0bd3d59ade0bf1551bc258339614,I1KG9197,2,2,exact,
a-toh287-71-1b-3,urn:nabu:derge-kangyur:toh287:71.1b.3,51120cc84e02eb5dfe9c443477e8d1a715174f5b86f88dce6ad09407df926176,I1KG9197,2,3,exact,
a-toh287-71-1b-4,urn:nabu:derge-kangyur:toh287:71.1b.4,b00e386af3780a0325054fd9e6000e1215938213f541e4296b5b27e2b201921e,I1KG9197,2,4,exact,
a-toh287-71-1b-5,urn:nabu:derge-kangyur:toh287:71.1b.5,0f12bc2ce0e2e8a636777f8d7735133597e5edb3296269ec2569f67f91760388,I1KG9197,2,5,exact,
a-toh287-71-2a-1,urn:nabu:derge-kangyur:toh287:71.2a.1,a8c66627a8d5775cac5811107b014fd3328025c16185888f8715fbca7a2c39e5,I1KG9197,3,1,exact,
a-toh287-71-2a-2,urn:nabu:derge-kangyur:toh287:71.2a.2,5e2e2ff7174170123c3cb17db86b224f53c0c669cf2c8abdda93b17541a9c43d,I1KG9197,3,2,exact,
a-toh287-71-2a-3,urn:nabu:derge-kangyur:toh287:71.2a.3,4ecb63eb4cddcb200d57c524587e2e36baed285d420b3e3fdeeaaf857fedd998,I1KG9197,3,3,exact,
a-toh287-71-2a-4,urn:nabu:derge-kangyur:toh287:71.2a.4,5d41ec55f1ab8d27b5664282ab7829e35fe441016af7a3c09b8f59185212b375,I1KG9197,3,4,exact,
a-toh287-71-2a-5,urn:nabu:derge-kangyur:toh287:71.2a.5,6c40c13f80ca8442273cd00265d589550b814a47d2f2751da498b9a67e0e2726,I1KG9197,3,5,exact,
a-toh287-71-2a-6,urn:nabu:derge-kangyur:toh287:71.2a.6,f5168a8aa52aea1ea70277d05144a1627f7188b1d26a4ed2c01354f95242c15e,I1KG9197,3,6,exact,
a-toh287-71-2b-1,urn:nabu:derge-kangyur:toh287:71.2b.1,1b78f9582ac879c0075f2f9f090f90bb79463acef49d8241a6dd9530481c8074,I1KG9197,4,1,exact,
a-toh287-71-2b-2,urn:nabu:derge-kangyur:toh287:71.2b.2,4670fbcabfad5c4ccfd9eef1908a0773ad49b91e97f63a2d0642cd9aede7dcd0,I1KG9197,4,2,exact,
a-toh287-71-2b-3,urn:nabu:derge-kangyur:toh287:71.2b.3,b2267d1b712a9928dc0135573a12995be59f47c4f05773e7db47312077c9f9d4,I1KG9197,4,3,exact,
a-toh287-71-2b-4,urn:nabu:derge-kangyur:toh287:71.2b.4,3fd767ae2c7a3100123f304775337814949aebd4031010f223d8f53ae2cef059,I1KG9197,4,4,exact,
a-toh287-71-2b-5,urn:nabu:derge-kangyur:toh287:71.2b.5,0c73b389239e7cdc539c8af8fdb253daa21770579f7aae9eb1f96ff44f133d55,I1KG9197,4,5,exact,
a-toh287-71-2b-6,urn:nabu:derge-kangyur:toh287:71.2b.6,9fb9bc72bbdcf8d2245ada1c78bb6d94cbe549f28845ae5b3089a4421aac6bec,I1KG9197,4,6,exact,
a-toh287-71-2b-7,urn:nabu:derge-kangyur:toh287:71.2b.7,1be38422d9dc7218ad61dc30e91c025ab7e6a86ec18e736bc9fdb84a292655ca,I1KG9197,4,7,exact,
a-toh287-71-3a-1,urn:nabu:derge-kangyur:toh287:71.3a.1,76e6ec1eb3b0e24558929605d76eb47da5bc13c07e1ecc694475340189041db5,I1KG9197,5,1,exact,
a-toh287-71-3a-2,urn:nabu:derge-kangyur:toh287:71.3a.2,a2e48e62ead4c2e3473244a0f8ac2ee8b6a642cf1f9e3d6c039ce67c72ead486,I1KG9197,5,2,exact,
a-toh287-71-3a-3,urn:nabu:derge-kangyur:toh287:71.3a.3,958840613e69b947dd86dcc2d2ee701d8d6bbba8f812554d8f9841903184efae,I1KG9197,5,3,exact,
a-toh287-71-3a-4,urn:nabu:derge-kangyur:toh287:71.3a.4,4d299872b4bd4d904ebcc739b4e40e8a56731147f9a6944d50002c605b2b1220,I1KG9197,5,4,exact,
a-toh287-71-3a-5,urn:nabu:derge-kangyur:toh287:71.3a.5,a2857ab64e415103da7f32b0d47360a7640b9523538b5495640e16e0ea8b74c6,I1KG9197,5,5,exact,
a-toh287-71-3a-6,urn:nabu:derge-kangyur:toh287:71.3a.6,c181f4578c47376090644b847e371ff1946abe7068d6937ae20cdaf66766358f,I1KG9197,5,6,exact,
a-toh287-71-3a-7,urn:nabu:derge-kangyur:toh287:71.3a.7,5e9c4f6188d8cb8d0ca96e23bbd14fad645d469a1b3661fdb9d1d83e3ffe4647,I1KG9197,5,7,exact,
a-toh287-71-3b-1,urn:nabu:derge-kangyur:toh287:71.3b.1,d4234015cc1e7795c3fb265f83834f4d08a213b59a723804d3cc1744dee5309c,I1KG9197,6,1,exact,
a-toh287-71-3b-2,urn:nabu:derge-kangyur:toh287:71.3b.2,502440b3a0e6f57aa1cbafcf3b0c6f1264f4f9403aec52e70c14ad1189b143e1,I1KG9197,6,2,exact,
a-toh287-71-3b-3,urn:nabu:derge-kangyur:toh287:71.3b.3,ff0064ddb2260c303953ab388d32b24f4745162cac4f996aa7b53834078fc629,I1KG9197,6,3,exact,
a-toh287-71-3b-4,urn:nabu:derge-kangyur:toh287:71.3b.4,af1f6f99b9fcbf4c4f6ada3d8e468ba901934d63f665df85a6545adcaf2ed8f0,I1KG9197,6,4,exact,
a-toh287-71-3b-5,urn:nabu:derge-kangyur:toh287:71.3b.5,78b2bd9ea361869e21e585b1820e1db5e260652c4351835329eaeeb31493973c,I1KG9197,6,5,exact,
a-toh287-71-3b-6,urn:nabu:derge-kangyur:toh287:71.3b.6,ebb1ad8df1bb0964a3abe5fb23eb1b2fc9fd2b109ca550ef6467bbff53c9e400,I1KG9197,6,6,exact,
a-toh287-71-3b-7,urn:nabu:derge-kangyur:toh287:71.3b.7,b12bbfb3785d2383683fb3902339638558b8f0fab28dd47f13a3c45dcb59b6f1,I1KG9197,6,7,exact,
a-toh287-71-4a-1,urn:nabu:derge-kangyur:toh287:71.4a.1,16ccedc6e3ea086310ede675aed119e073f00c9221136475e4c6fc71c443bea1,I1KG9197,7,1,exact,
a-toh287-71-4a-2,urn:nabu:derge-kangyur:toh287:71.4a.2,6026078990731d30ad1ba5cf49c6e99341610d84c794672237d4182d945ba69f,I1KG9197,7,2,exact,
a-toh287-71-4a-3,urn:nabu:derge-kangyur:toh287:71.4a.3,e8cce6c4b8f1465321cd70c9f3352e3c9d8c1145a86c2ae244478abd4e185229,I1KG9197,7,3,exact,
a-toh287-71-4a-4,urn:nabu:derge-kangyur:toh287:71.4a.4,26f3523af0758adcde7e5be471b41b3e9a62f0070db264a8ad23f6658021e2d5,I1KG9197,7,4,exact,
a-toh287-71-4a-5,urn:nabu:derge-kangyur:toh287:71.4a.5,281f03e5b83c2c0c139153ae52b32747ae8d1451beca156da39514290d6cef72,I1KG9197,7,5,exact,
a-toh287-71-4a-6,urn:nabu:derge-kangyur:toh287:71.4a.6,37e8eb98c10c79c0ec18b3fc058646b4a839fa9a917e613eef006637689c134c,I1KG9197,7,6,exact,
a-toh287-71-4a-7,urn:nabu:derge-kangyur:toh287:71.4a.7,90b61dce6ba217724fa5b2b344e750d2e13f9378faf01779a3af3ad8a17ec905,I1KG9197,7,7,exact,
a-toh287-71-4b-1,urn:nabu:derge-kangyur:toh287:71.4b.1,2bcfda0a2ace8f621b99b2f21272a77d62e57634aeb6fdd91a5f0c82495dc7a9,I1KG9197,8,1,exact,
a-toh287-71-4b-2,urn:nabu:derge-kangyur:toh287:71.4b.2,12a7ab0e1d16d7b337a5f4f8a7caf0c28bdd21dfeea068b13c9103e25a799f84,I1KG9197,8,2,exact,
a-toh287-71-4b-3,urn:nabu:derge-kangyur:toh287:71.4b.3,746b83bf843d7ee2b53c7627d767472a3de32cdff22fb9e08935bda0cb53c127,I1KG9197,8,3,exact,
a-toh287-71-4b-4,urn:nabu:derge-kangyur:toh287:71.4b.4,e31a1b9f9191fcb551b6351e199469f65582d8e2a185ada092dd1840a40eb5c1,I1KG9197,8,4,exact,
a-toh287-71-4b-5,urn:nabu:derge-kangyur:toh287:71.4b.5,68b0884f77a1de553f51cb215c413a4dabcfd703e84dfdc329372d48809e437e,I1KG9197,8,5,exact,
