ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh8-22-1a-1,urn:nabu:derge-kangyur:toh8:22.1a.1,16c39eb36d93eca74095f911cc777fedeb9b8c3ad974e9494e5ac1c8d6d2e0d0,I1KG9148,1,1,missing,
a-toh8-22-1b-1,urn:nabu:derge-kangyur:toh8:22.1b.1,e7e642e35063a4b574b54e630f6e9557189cd2f92d281290708d442fabe06bf6,I1KG9148,2,1,exact,
a-toh8-22-1b-2,urn:nabu:derge-kangyur:toh8:22.1b.2,db5ad2e0d1b65ef75699ab194caaf4a2c57a33830833afabec1db572b9f7854e,I1KG9148,2,2,exact,
a-toh8-22-1b-3,urn:nabu:derge-kangyur:toh8:22.1b.3,1c03b0d892dcbd16e9c4e63a4c00cb05a9e6c9485685d525f350a16a33139d83,I1KG9148,2,3,exact,
a-toh8-22-1b-4,urn:nabu:derge-kangyur:toh8:22.1b.4,96c30e879716426cb41021d9f80e9e4ee92225f1f8e9995fa11261b3be2806ab,I1KG9148,2,4,exact,
a-toh8-22-1b-5,urn:nabu:derge-kangyur:toh8:22.1b.5,a840c63cf46cb4a67a4ca031f3252896a43178dd46fbafc0a7de5c06f51ff4c2,I1KG9148,2,5,exact,
a-toh8-22-2a-1,urn:nabu:derge-kangyur:toh8:22.2a.1,793c1ef1932587315565261bc83501c471810ac2ff9c1d28861507221f9e9824,I1KG9148,3,1,exact,
a-toh8-22-2a-2,urn:nabu:derge-kangyur:toh8:22.2a.2,98a6f4737b83f380f28e0354645740d51d3247d1adf56e70f6494e5216318097,I1KG9148,3,2,exact,
a-toh8-22-2a-3,urn:nabu:derge-kangyur:toh8:22.2a.3,0a2f834ba5b0f02e2d3e5d275dcc467f182873bc4f8e4317454d86949844f6ad,I1KG9148,3,3,exact,
a-toh8-22-2a-4,urn:nabu:derge-kangyur:toh8:22.2a.4,67f11de43fe1f0b6ffc23de29b5d15c1dd2ea7a035451dc1fe839e6cce41d1aa,I1KG9148,3,4,exact,
a-toh8-22-2a-5,urn:nabu:derge-kangyur:toh8:22.2a.5,be031701a1116967f6c5af0155fa42dd1f355dd68b100d261b387d4d2c7dfab6,I1KG9148,3,5,exact,
a-toh8-22-2a-6,urn:nabu:derge-kangyur:toh8:22.2a.6,80ca356bcb5eef3dbefbeb7ad9e89a61ba5448f8463c08d046c9022552bffdb5,I1KG9148,3,6,exact,
a-toh8-22-2b-1,urn:nabu:derge-kangyur:toh8:22.2b.1,7f05bbdcc20691aaed08e8d8a5d68df1fc43e71485796e191d03021a6cdbc4f0,I1KG9148,4,1,exact,
a-toh8-22-2b-2,urn:nabu:derge-kangyur:toh8:22.2b.2,b8333b4f8474c36f7549e8996c36c5fad6a8f1a77cc9c0761ee7ff384a1d6b19,I1KG9148,4,2,exact,
a-toh8-22-2b-3,urn:nabu:derge-kangyur:toh8:22.2b.3,38941f40cb6055f3955712e8b0695533435b26efc9a7403d3b78ad667345e79e,I1KG9148,4,3,exact,
a-toh8-22-2b-4,urn:nabu:derge-kangyur:toh8:22.2b.4,52250c1a9a214b2483cc111cf7c32d7776a746777017ffcd5f591fcf9ea885e0,I1KG9148,4,4,exact,
a-toh8-22-2b-5,urn:nabu:derge-kangyur:toh8:22.2b.5,16a5e45ed7d7acd846ad16651f3ccd050afe22385703990f4c3840f73ac85ea4,I1KG9148,4,5,exact,
a-toh8-22-2b-6,urn:nabu:derge-kangyur:toh8:22.2b.6,0c8e1713d43c29afeca95e39d439395b7ac8b99846213cd290ee7d8b5db38e78,I1KG9148,4,6,exact,
a-toh8-22-2b-7,urn:nabu:derge-kangyur:toh8:22.2b.7,6ca3fac47ad9cb4e70991302b985fcb869ccc20060550b72665aedbfca132ada,I1KG9148,4,7,exact,
a-toh8-22-3a-1,urn:nabu:derge-kangyur:toh8:22.3a.1,3c0a3f752ccca5587e5eee5b126c7b31ed0e947d6a7f1b57477e6d6374eb9f5c,I1KG9148,5,1,exact,
a-toh8-22-3a-2,urn:nabu:derge-kangyur:toh8:22.3a.2,21f83db924636bbb5b364446ccb1ffcf49f72ef7175d09711f4bddcfa5eeca68,I1KG9148,5,2,exact,
a-toh8-22-3a-3,urn:nabu:derge-kangyur:toh8:22.3a.3,c40becab8cb581e961d28bfdfa775890c77cf41dcb986a4161fe3a2b5e0eafe1,I1KG9148,5,3,exact,
