ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh449-82-1a-1,urn:nabu:derge-kangyur:toh449:82.1a.1,45b3e37d613723bd39c41062139a071e1b012b5a03c4eb14cbdfa0bc743e74c9,I1KG9208,1,1,missing,
a-toh450-1b-1,urn:nabu:derge-kangyur:toh450:1b.1,dead519baa5c6543e4e110dae3424ebd1c58c07d5fd3cd475304cfa392885f67,I1KG9208,2,1,exact,
a-toh450-1b-2,urn:nabu:derge-kangyur:toh450:1b.2,e96aa9b3b3c2f3b60bccc36d173128200fd8847bab1d04ad945bb16fa7b41971,I1KG9208,2,2,exact,
a-toh450-1b-3,urn:nabu:derge-kangyur:toh450:1b.3,a74477f7dd4d5096863cdf5b79fd29c7fa614e417e99a26299d0141393473587,I1KG9208,2,3,exact,
a-toh450-1b-4,urn:nabu:derge-kangyur:toh450:1b.4,60a162077ca51e6bf74a0c5b12782330b9cc0e220fd9e993898072eaa7ac6b80,I1KG9208,2,4,exact,
a-toh450-1b-5,urn:nabu:derge-kangyur:toh450:1b.5,b4959831b9f464cab5efd6a51ba6705fd2b32f70818374356fd1a9705f84bc48,I1KG9208,2,5,exact,
a-toh450-2a-1,urn:nabu:derge-kangyur:toh450:2a.1,dc5cd80f103748aad08ec04c1273df4c362f9df8d8ffd5ea5f7465cb178efdd2,I1KG9208,3,1,exact,
a-toh450-2a-2,urn:nabu:derge-kangyur:toh450:2a.2,718092fabbc2ffde9e4d5cc31cee2a14ff7ee13621a7be164fb60fc64a3869a0,I1KG9208,3,2,exact,
a-toh450-2a-3,urn:nabu:derge-kangyur:toh450:2a.3,ab905d0f9ec41d29b1485ba579165992138c2cffd490051123283a272d979ce2,I1KG9208,3,3,exact,
a-toh450-2a-4,urn:nabu:derge-kangyur:toh450:2a.4,637fbf80b92f19c08f17dc17c91c991b8c1093a2780cc4b7de68e60a4b482b3b,I1KG9208,3,4,exact,
a-toh450-2a-5,urn:nabu:derge-kangyur:toh450:2a.5,e9185910eed835af7413b98328855ade0fb86bc489c1f775682dfba260095fd3,I1KG9208,3,5,exact,
a-toh450-2a-6,urn:nabu:derge-kangyur:toh450:2a.6,f30935b2426d4770d0923452e8bfef1e13bae83de9489322f14a4bbea548e4c5,I1KG9208,3,6,exact,
a-toh450-2b-1,urn:nabu:derge-kangyur:toh450:2b.1,e692401aedd0780d7c68f867b9ea820158b27bf030b934968d60e741e5c5e9d1,I1KG9208,4,1,exact,
a-toh450-2b-2,urn:nabu:derge-kangyur:toh450:2b.2,99d3d39d948cd824776c610df4611a2b7d2fdbd9eb4f364b2ccee521545a8a33,I1KG9208,4,2,exact,
a-toh450-2b-3,urn:nabu:derge-kangyur:toh450:2b.3,364c584b07cb92c040eaca4f9da9e6890f2f4b1ca2f3f8449e654db63a1ced2b,I1KG9208,4,3,exact,
a-toh450-2b-4,urn:nabu:derge-kangyur:toh450:2b.4,3a4d798e7d7cb6afa576f8c141b0dd75b42eb2f5c6eaa933fe4bdfd9042a9e31,I1KG9208,4,4,exact,
a-toh450-2b-5,urn:nabu:derge-kangyur:toh450:2b.5,532f0057d189916b3dab49fe3a5072cc478bda17ba035d766cc1aa43b60eada6,I1KG9208,4,5,exact,
a-toh450-2b-6,urn:nabu:derge-kangyur:toh450:2b.6,c933ef9b704931ba0c097006107591f63e577e02c6b2cf8dc01cd2aa97ce9d01,I1KG9208,4,6,exact,
a-toh450-2b-7,urn:nabu:derge-kangyur:toh450:2b.7,f60536f829ebe393455ced1dffb2cee3b3e1031f9b6880bae6be2a4523ea7174,I1KG9208,4,7,exact,
a-toh450-3a-1,urn:nabu:derge-kangyur:toh450:3a.1,d34439d5918d7680b1f7a023a21353e40f43e610bcc67dfd7ae9179f7a57309c,I1KG9208,5,1,exact,
a-toh450-3a-2,urn:nabu:derge-kangyur:toh450:3a.2,e01a9571819d1dc10f7898fd93467e8902cb3e19bcc3b75f4a4512031a417694,I1KG9208,5,2,exact,
a-toh450-3a-3,urn:nabu:derge-kangyur:toh450:3a.3,f567c950a264dcb35cf0ee9aa13ffe09b6500c1f48bbb5ea45e6831129e4f7bd,I1KG9208,5,3,exact,
a-toh450-3a-4,urn:nabu:derge-kangyur:toh450:3a.4,384b7b57a3afa6aa9e4a50340b440e8d97c4494376655a7d367097f856e47d4a,I1KG9208,5,4,exact,
a-toh450-3a-5,urn:nabu:derge-kangyur:toh450:3a.5,b3b22432114b6bc261b1f466e210b76d5a258b424f5ce878f90c500a907c481e,I1KG9208,5,5,exact,
a-toh450-3a-6,urn:nabu:derge-kangyur:toh450:3a.6,e14af70c51186bd9098033022d25fb15d9468d0050f1bdfe3e1cc9912078d5d1,I1KG9208,5,6,exact,
a-toh450-3a-7,urn:nabu:derge-kangyur:toh450:3a.7,cff230cedca35afd5117a3e4c2fcfbc3b3a1f76f24cdee8ee3da4e3322382c01,I1KG9208,5,7,exact,
a-toh450-3b-1,urn:nabu:derge-kangyur:toh450:3b.1,a345c1699aa4833b602fa62772acc7a6d28de14945b65e0a7091bd523b59bb05,I1KG9208,6,1,exact,
a-toh450-3b-2,urn:nabu:derge-kangyur:toh450:3b.2,e86d9b7341eb1d37ddff963291c70e60e9a704eacc2f585fa84301bad6c731fb,I1KG9208,6,2,exact,
a-toh450-3b-3,urn:nabu:derge-kangyur:toh450:3b.3,d9232cbd3b77f7f9a64e4171bdc13f6945717264660122c85ea696991cb56306,I1KG9208,6,3,exact,
a-toh450-3b-4,urn:nabu:derge-kangyur:toh450:3b.4,6717632523cd5e4e9b539b083222c459bbfc91c863c1058dbbde4570205d4342,I1KG9208,6,4,exact,
a-toh450-3b-5,urn:nabu:derge-kangyur:toh450:3b.5,8155bef285b3c04f3dbfefb072c28e1aae6504311bea24c6ed403d946e3ebec1,I1KG9208,6,5,exact,
a-toh450-3b-6,urn:nabu:derge-kangyur:toh450:3b.6,8a50ff90ca31d313dede26a2c37cbf124d525a6af4dbf2f558d9570fcfa509a1,I1KG9208,6,6,exact,
a-toh450-3b-7,urn:nabu:derge-kangyur:toh450:3b.7,053b49df5a63e750f68352cfaae429f0364829fbb05b79736bac478c2b873834,I1KG9208,6,7,exact,
a-toh450-4a-1,urn:nabu:derge-kangyur:toh450:4a.1,7b57f53053b487862d258f75bbe8a80a2fc8977187740c92e92953580142b641,I1KG9208,7,1,exact,
a-toh450-4a-2,urn:nabu:derge-kangyur:toh450:4a.2,214e51fd7e83670ad907df4525be1c608b54821b1697ad014418e3ed53bdc917,I1KG9208,7,2,exact,
a-toh450-4a-3,urn:nabu:derge-kangyur:toh450:4a.3,36d9a963c7bc6106d044a5e340f691b6653449501b4dcf1dcfad6ac44112c14a,I1KG9208,7,3,exact,
a-toh450-4a-4,urn:nabu:derge-kangyur:toh450:4a.4,9192f4bc1d6f3db593a62a51d57fdae9b4afa8d5adbd5c75576a46c1e7d6b32e,I1KG9208,7,4,exact,
