ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh219-63-1a-1,urn:nabu:derge-kangyur:toh219:63.1a.1,ec3bc16ae15efd22462355028ce42a6795f8cb193244efb767072013680cf411,I1KG9189,1,1,missing,
a-toh220-1b-1,urn:nabu:derge-kangyur:toh220:1b.1,68ef121bda397a7a7b5fe94f6a843b117bc5cced7b705876027d380ec61f22c4,I1KG9189,2,1,exact,
a-toh220-1b-2,urn:nabu:derge-kangyur:toh220:1b.2,97ce3e14ebe4177192b892c2b3cb471e505aeaaa33fe22e29ab495ab817d4d06,I1KG9189,2,2,exact,
a-toh220-1b-3,urn:nabu:derge-kangyur:toh220:1b.3,13475584e0656ca86299d6d1d2dcb3b79258c4b8ea4358ba1a8285de0cc75280,I1KG9189,2,3,exact,
a-toh220-1b-4,urn:nabu:derge-kangyur:toh220:1b.4,67c17f812e896bad6e513b078f625bdfb1444f2f12da5bc37eb85002d67fa499,I1KG9189,2,4,exact,
a-toh220-1b-5,urn:nabu:derge-kangyur:toh220:1b.5,5d7389c7cf7a80966b22fd3fc479d82ab8feb11457bed3b470346d4f23793ce1,I1KG9189,2,5,exact,
a-toh220-2a-1,urn:nabu:derge-kangyur:toh220:2a.1,4f18151a52f28e1768efaa933603892860a21185a1453222b3a83ffc2b0c9d65,I1KG9189,3,1,exact,
a-toh220-2a-2,urn:nabu:derge-kangyur:toh220:2a.2,c8b52b96181852f934bdea4ce3fe8bb5105c4446b928469213a8fa4ea44a8e68,I1KG9189,3,2,exact,
a-toh220-2a-3,urn:nabu:derge-kangyur:toh220:2a.3,f0bf5d25cfb48d4d78461947174db7c2fd83c535868dfdee9add8c69a27dd91e,I1KG9189,3,3,exact,
a-toh220-2a-4,urn:nabu:derge-kangyur:toh220:2a.4,297580dd8591867c032661d0a86e0ca1cb48566bdd6bf2ad763d5942e5d3d9be,I1KG9189,3,4,exact,
a-toh220-2a-5,urn:nabu:derge-kangyur:toh220:2a.5,9d5fb8ce7015631ca315970c92d97127ec787101638228d071ba194e89ac1a39,I1KG9189,3,5,exact,
a-toh220-2a-6,urn:nabu:derge-kangyur:toh220:2a.6,1420f87da678f888c9c6fc260d48c9626cf590e33e019bbf86711ee3d4668246,I1KG9189,3,6,exact,
a-toh220-2b-1,urn:nabu:derge-kangyur:toh220:2b.1,2b8d6b6f25d0a8114fe8257894708137d73c5c960769a9f9b93b116d5cf77def,I1KG9189,4,1,exact,
a-toh220-2b-2,urn:nabu:derge-kangyur:toh220:2b.2,032e41b41487870d02c7a19af262d6da9a8b8e060666240381bc17cd425d536c,I1KG9189,4,2,exact,
